"Year","Income Group","ODA","Share","Donor"
"2018","WorldBank Low income countriesM",8003.143066,"59%","Japan"
"2019","WorldBank Low income countriesM",9434.024559,"65%","Japan"
"2020","WorldBank Low income countriesM",9546.24804,"59%","Japan"
"2021","WorldBank Low income countriesM",10815.214613,"61%","Japan"
"2022","WorldBank Low income countriesM",14574.466173,"62%","Japan"
"2018","WorldBank Upper-middle income countries",2243.04851,"17%","Japan"
"2019","WorldBank Upper-middle income countries",1934.562839,"13%","Japan"
"2020","WorldBank Upper-middle income countries",3246.317295,"20%","Japan"
"2021","WorldBank Upper-middle income countries",3092.568286,"17%","Japan"
"2022","WorldBank Upper-middle income countries",4065.166981,"17%","Japan"
"2018","WorldBank Low income countries",909.36959,"7%","Japan"
"2019","WorldBank Low income countries",904.033417,"6%","Japan"
"2020","WorldBank Low income countries",812.69504,"5%","Japan"
"2021","WorldBank Low income countries",1032.382898,"6%","Japan"
"2022","WorldBank Low income countries",996.741452,"4%","Japan"
"2018","Part I Unallocated by income",238.566955,"2%","Japan"
"2019","Part I Unallocated by income",376.13092,"3%","Japan"
"2020","Part I Unallocated by income",365.321,"2%","Japan"
"2021","Part I Unallocated by income",560.091774,"3%","Japan"
"2022","Part I Unallocated by income",630.281013,"3%","Japan"
"2018","WorldBank High income countries",11.72402,"0%","Japan"
"2019","WorldBank High income countries",16.377708,"0%","Japan"
"2020","WorldBank High income countries",30.434571,"0%","Japan"
"2021","WorldBank High income countries",79.377296,"0%","Japan"
"2022","WorldBank High income countries",143.439939,"1%","Japan"
"2018","Countries not classified by the World Bank",3.855277,"0%","Japan"
"2019","Countries not classified by the World Bank",1.200787,"0%","Japan"
"2020","Countries not classified by the World Bank",0.470115,"0%","Japan"
"2021","Countries not classified by the World Bank",6.009323,"0%","Japan"
"2022","Countries not classified by the World Bank",6.762767,"0%","Japan"
