"Year","Multi_short","ODA","Share","full name","country"
"2018","UN agency, fund or commission",57.427798,"39%","United Nations (UN) agency, fund or commission","Luxembourg"
"2018","FAO",0.289333,"0%","Food and Agricultural Organisation","Luxembourg"
"2018","IFAD",4.526768,"3%","International Fund for Agricultural Development","Luxembourg"
"2018","UNDP",8.853825,"6%","United Nations Development Programme","Luxembourg"
"2018","UN Women",1.730823,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Luxembourg"
"2018","UNEP",0.332851,"0%","United Nations Environment Programme","Luxembourg"
"2018","UNOCHA",1.331402,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Luxembourg"
"2018","UNFPA",7.389284,"5%","United Nations Population Fund","Luxembourg"
"2018","WFP",0.67521,"0%","World Food Programme","Luxembourg"
"2018","WHO - assessed contributions",12.370553,"8%","World Health Organisation - assessed contributions","Luxembourg"
"2018","EUI",46.015515,"31%","European Union Institutions","Luxembourg"
"2018","EC - Development Share of Budget",45.116818,"31%","European Commission - Development Share of Budget","Luxembourg"
"2018","EIB",0.898697,"1%","European Investment Bank","Luxembourg"
"2018","WB",22.374217,"15%","World Bank Group (WB)","Luxembourg"
"2018","IBRD",1.730823,"1%","International Bank for Reconstruction and Development","Luxembourg"
"2018","IDA",20.643394,"14%","International Development Association","Luxembourg"
"2018","	
Regional Development Banks",9.252802,"6%","Regional Development Banks","Luxembourg"
"2018","African Development Fund",4.806788,"3%","African Development Fund","Luxembourg"
"2018","ADB",1.40376,"1%","Asian Development Bank","Luxembourg"
"2018","ADF",3.042254,"2%","Asian Development Fund","Luxembourg"
"2018","Other multilateral institutions",11.456629,"8%","Other multilateral institutions","Luxembourg"
"2018","Gavi",1.09175,"1%","Global Alliance for Vaccines and Immunization","Luxembourg"
"2018","GEF-Least Developed Countries Fund",1.148135,"1%","Global Environment Facility - Least Developed Countries Fund","Luxembourg"
"2018","Global Fund",3.594786,"2%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Luxembourg"
"2019","UN agency, fund or commission",35.72628,"28%","United Nations (UN) agency, fund or commission","Luxembourg"
"2019","FAO",0.303635,"0%","Food and Agricultural Organisation","Luxembourg"
"2019","IFAD",1.444608,"1%","International Fund for Agricultural Development","Luxembourg"
"2019","UNDP",4.990463,"4%","United Nations Development Programme","Luxembourg"
