"","DonorName","MNCH_ODA"
"1","United States",1626.246031584
"2","Germany",686.278524576
"3","EU Institutions",604.233006032
"4","Japan",442.285326768
"5","Canada",332.90919608
"6","United Kingdom",317.80343288
"7","Netherlands",237.157143296
"8","Sweden",195.69236688
"9","France",165.48756128
"10","Australia",156.006690288
"11","Korea",153.185497744
"12","Switzerland",143.772666608
"13","Norway",116.504036752
"14","Belgium",58.156996496
"15","Italy",55.167339536
"16","Spain",50.198530112
"17","Denmark",49.68089392
"18","Ireland",38.11706272
"19","Luxembourg",22.987102
"20","Finland",22.65452672
"21","New Zealand",11.080527248
"22","Austria",9.975245152
"23","Hungary",5.72232
"24","Iceland",4.202574928
"25","Czech Republic",4.05312
"26","Portugal",2.858562352
"27","Poland",1.756775424
"28","Slovak Republic",0.57714
"29","Slovenia",0.22172
"30","Greece",0.21658
