"","RecipientName","MNCH_ODA"
"1","South Sudan",24.61784888
"2","Mozambique",17.17569744
"3","Afghanistan",12.71367
"4","Bangladesh",12.4226
"5","Tanzania",10.479802592
"6","Ethiopia",7.48152
"7","Mali",7.36789
"8","Democratic Republic of the Congo",6.654192352
"9","Haiti",6.594767936
"10","Senegal",6.164223808
"11","Nigeria",5.42745
"12","Burkina Faso",5.2579
"13","Pakistan",4.69162
"14","Ghana",4.49056
"15","Somalia",3.82683
"16","Benin",3.03959816
"17","Kenya",2.57986
"18","Niger",2.18555
"19","Malawi",2.162064064
"20","Syrian Arab Republic",2.15708
