"","RecipientName","MNCH_ODA"
"1","China (People's Republic of)",39.51602
"2","Yemen",23.01198
"3","Afghanistan",21.48243
"4","Malawi",20.67506
"5","Lebanon",18.66385
"6","Zimbabwe",17.833757664
"7","Cameroon",14.697512288
"8","Cambodia",14.33058
"9","Mozambique",14.16202
"10","Niger",11.941312512
"11","Burundi",11.89732
"12","Syrian Arab Republic",10.84401
"13","South Sudan",10.30141
"14","Kyrgyzstan",9.825
"15","India",6.94494
"16","Tanzania",6.342263664
"17","Somalia",6.20793
"18","TÃ¼rkiye",5.70169
"19","Iraq",5.21727
"20","Guinea",4.81345
"21","Democratic Republic of the Congo",4.8132
"22","CÃ´te d'Ivoire",4.67779
"23","Central African Republic",4.6506
"24","Libya",4.59657
"25","Algeria",4.59222
"26","Togo",4.488523968
"27","Zambia",4.37295752
"28","Nepal",4.15779
"29","Tajikistan",4.067266928
"30","Ukraine",3.98079
"31","Ethiopia",3.782217072
"32","Liberia",3.54518
"33","Kenya",3.430287952
"34","Morocco",3.33842
"35","West Bank and Gaza Strip",3.20287
"36","Benin",3.06352
"37","Burkina Faso",3.06036
"38","Colombia",3.05772
"39","Bangladesh",2.68533
"40","Nigeria",2.5016
"41","Jordan",2.46658
"42","Chad",2.282331616
"43","Uzbekistan",2.276711024
"44","Sierra Leone",2.18163
"45","Sudan",1.99378
"46","Uganda",1.97817
"47","Indonesia",1.96906
"48","Mali",1.9543
"49","Sri Lanka",1.62487
"50","Viet Nam",1.26471
"51","Bolivia",1.00465
"52","Pakistan",0.94718
"53","Albania",0.85595
"54","Myanmar",0.51891
"55","Venezuela",0.47983
"56","South Africa",0.456405552
"57","Rwanda",0.438751984
"58","Egypt",0.43548
"59","Philippines",0.41192
"60","Lao People's Democratic Republic",0.33646
"61","Georgia",0.33453
"62","Moldova",0.32238
"63","Haiti",0.31965
"64","Bosnia and Herzegovina",0.29356
"65","Namibia",0.26882
"66","Brazil",0.24004
"67","Guatemala",0.23721
"68","Kosovo",0.22498
"69","Nicaragua",0.21012
"70","Senegal",0.17752
"71","Papua New Guinea",0.13517
"72","Peru",0.13455
"73","Gabon",0.10661
"74","Ghana",0.09882
"75","Bhutan",0.07497
"76","Armenia",0.06316
"77","Mauritania",0.05582
"78","Honduras",0.0547
"79","Guinea-Bissau",0.05116
"80","El Salvador",0.04817
"81","Madagascar",0.045700624
"82","Timor-Leste",0.04463
"83","Cuba",0.03555
"84","Eswatini",0.02985
"85","Mongolia",0.02823
"86","Costa Rica",0.0237
"87","Angola",0.0225
"88","North Macedonia",0.02092
"89","Paraguay",0.017659632
"90","Serbia",0.01593
"91","Ecuador",0.01538
"92","Thailand",0.01445
"93","Fiji",0.01185
"94","Argentina",0.01071
"95","Dominican Republic",0.009
"96","Belize",0.00786
"97","Gambia",0.0075
"98","Kazakhstan",0.0072
"99","Jamaica",0.00393
"100","Mexico",0.00393
"101","Congo",0.00382
"102","Panama",0.003
"103","Tunisia",0.003
"104","Botswana",0.00027
"105","Democratic People's Republic of Korea",0.00019
"106","Eritrea",0.00014
"107","Azerbaijan",0
"108","Belarus",0
"109","Cabo Verde",0
"110","Comoros",0
"111","Djibouti",0
"112","Dominica",0
"113","Equatorial Guinea",0
"114","Grenada",0
"115","Guyana",0
"116","Iran",0
"117","Lesotho",0
"118","Malaysia",0
"119","Maldives",0
"120","Marshall Islands",0
"121","Mauritius",0
"122","Montenegro",0
"123","Palau",0
"124","Saint Lucia",0
"125","Saint Vincent and the Grenadines",0
"126","Samoa",0
"127","Solomon Islands",0
"128","Suriname",0
"129","Tonga",0
"130","Turkmenistan",0
"131","Wallis and Futuna",0
