"","RecipientName","MNCH_ODA"
"1","Bangladesh",108.3481
"2","Brazil",63.38318
"3","Kenya",16.554593056
"4","India",13.051965968
"5","Myanmar",10.267174784
"6","Ghana",9.739876544
"7","Uganda",9.00833
"8","Syrian Arab Republic",8.38821
"9","Pakistan",8.28403
"10","Viet Nam",7.36693
"11","Yemen",6.23772
"12","Nepal",6.186006624
"13","Afghanistan",5.752496768
"14","Nigeria",4.92856
"15","Indonesia",4.54684
"16","Papua New Guinea",4.004636848
"17","Cambodia",3.866320816
"18","Democratic Republic of the Congo",3.566524928
"19","Ethiopia",2.92158
"20","South Sudan",2.92115
