"","RecipientName","MNCH_ODA"
"1","Ethiopia",15.50009
"2","Burundi",12.75408
"3","Benin",9.86828
"4","Yemen",9.58961
"5","Uganda",7.22084
"6","Mali",7.09317
"7","Mozambique",3.33911
"8","Burkina Faso",3.20274
"9","Democratic Republic of the Congo",1.85662
"10","Afghanistan",1.19368
"11","Nigeria",1.09952
"12","Bangladesh",1.01081
"13","Niger",1.00947
"14","South Sudan",0.95556
"15","Iraq",0.474
"16","Syrian Arab Republic",0.28638
"17","Somalia",0.23607
"18","West Bank and Gaza Strip",0.22891
"19","Tunisia",0.21912
"20","Central African Republic",0.20812
