"","RecipientName","MNCH_ODA"
"1","South Sudan",25.52010008
"2","Sierra Leone",15.69229
"3","Somalia",14.35691
"4","Nigeria",13.171940976
"5","Myanmar",10.494741424
"6","Bangladesh",8.93716128
"7","Mozambique",8.30646
"8","Democratic Republic of the Congo",8.142315792
"9","Tanzania",7.05829
"10","Pakistan",6.82816
"11","Afghanistan",6.32601
"12","Ethiopia",6.02558
"13","Syrian Arab Republic",4.36359
"14","Malawi",4.16157
"15","Sudan",3.98946
"16","Kenya",3.819190992
"17","Nepal",3.79796
"18","Yemen",3.45713
"19","Ghana",3.142228336
"20","Saint Helena",2.99856
"21","Zimbabwe",2.834056192
"22","Zambia",2.67049
"23","Rwanda",2.24665
"24","South Africa",1.948012448
"25","Uganda",1.821263056
"26","Eritrea",1.50295
"27","Montserrat",1.38467
"28","TÃ¼rkiye",1.34112
"29","Lebanon",1.1497
"30","Jordan",1.08955
"31","India",0.748
"32","Iraq",0.61864
"33","Central African Republic",0.58781
"34","Mexico",0.51816
"35","China (People's Republic of)",0.48989
"36","Cameroon",0.474627776
"37","West Bank and Gaza Strip",0.4137
"38","Ukraine",0.32897
"39","Madagascar",0.28423
"40","Peru",0.26067
"41","Brazil",0.24298
"42","Indonesia",0.17732
"43","Philippines",0.14161
"44","Lao People's Democratic Republic",0.08763
"45","Burundi",0.03612
"46","Saint Vincent and the Grenadines",0.03268
"47","Haiti",0.02838
"48","Albania",0.0268
"49","Libya",0.0254
"50","Malaysia",0.0237
"51","Colombia",0.0158
"52","Gambia",0.013430272
"53","Venezuela",0.00645
"54","Chad",0.0056
"55","Algeria",0
"56","Angola",0
"57","Antigua and Barbuda",0
"58","Argentina",0
"59","Armenia",0
"60","Azerbaijan",0
"61","Belarus",0
"62","Belize",0
"63","Benin",0
"64","Bhutan",0
"65","Bolivia",0
"66","Bosnia and Herzegovina",0
"67","Botswana",0
"68","Burkina Faso",0
"69","Cabo Verde",0
"70","Cambodia",0
"71","Comoros",0
"72","Congo",0
"73","Costa Rica",0
"74","Cuba",0
"75","CÃ´te d'Ivoire",0
"76","Democratic People's Republic of Korea",0
"77","Djibouti",0
"78","Dominica",0
"79","Dominican Republic",0
"80","Ecuador",0
"81","Egypt",0
"82","El Salvador",0
"83","Equatorial Guinea",0
"84","Eswatini",0
"85","Fiji",0
"86","Gabon",0
"87","Georgia",0
"88","Grenada",0
"89","Guatemala",0
"90","Guinea",0
"91","Guinea-Bissau",0
"92","Guyana",0
"93","Honduras",0
"94","Iran",0
"95","Jamaica",0
"96","Kazakhstan",0
"97","Kiribati",0
"98","Kosovo",0
"99","Kyrgyzstan",0
"100","Lesotho",0
"101","Liberia",0
"102","Maldives",0
"103","Mali",0
"104","Mauritania",0
"105","Mauritius",0
"106","Moldova",0
"107","Mongolia",0
"108","Montenegro",0
"109","Morocco",0
"110","Namibia",0
"111","Nicaragua",0
"112","Niger",0
"113","North Macedonia",0
"114","Panama",0
"115","Papua New Guinea",0
"116","Paraguay",0
"117","Saint Lucia",0
"118","Samoa",0
"119","Sao Tome and Principe",0
"120","Senegal",0
"121","Serbia",0
"122","Solomon Islands",0
"123","Sri Lanka",0
"124","States Ex-Yugoslavia unspecified",0
"125","Suriname",0
"126","Tajikistan",0
"127","Thailand",0
"128","Timor-Leste",0
"129","Tonga",0
"130","Tunisia",0
"131","Turkmenistan",0
"132","Tuvalu",0
"133","Uzbekistan",0
"134","Vanuatu",0
"135","Viet Nam",0
