"","RecipientName","MNCH_ODA"
"1","Nigeria",99.361406736
"2","Democratic Republic of the Congo",92.277344992
"3","Ethiopia",70.708322784
"4","Mozambique",66.514305536
"5","Uganda",60.656438352
"6","Tanzania",54.188354928
"7","Afghanistan",52.016535872
"8","Kenya",44.429403232
"9","Zambia",42.747389392
"10","Mali",34.34512808
"11","Bangladesh",31.98705184
"12","Madagascar",29.487082048
"13","Malawi",29.41875984
"14","Haiti",25.149548704
"15","South Sudan",24.68683
"16","Ghana",22.170038464
"17","Senegal",21.189898352
"18","Yemen",19.27914
"19","Nepal",18.58206
"20","Syrian Arab Republic",17.90417
"21","Rwanda",17.872015008
"22","Cameroon",17.129189232
"23","Niger",17.08797824
"24","Burkina Faso",16.587062848
"25","Liberia",15.226468736
"26","Indonesia",14.305483872
"27","Jordan",13.49285
"28","South Africa",12.788829424
"29","Angola",12.1309672
"30","Zimbabwe",11.76145016
"31","Benin",11.388754848
"32","Guinea",10.795306032
"33","Colombia",10.73696
"34","Sudan",10.56412
"35","Sierra Leone",9.36547808
"36","Myanmar",9.36524424
"37","Burundi",9.346859024
"38","CÃ´te d'Ivoire",8.78293
"39","India",7.928694752
"40","Cambodia",7.55881384
"41","Somalia",7.387
"42","Guatemala",6.58469
"43","Viet Nam",5.942819568
"44","Venezuela",5.81244
"45","Iraq",5.58117
"46","Lebanon",5.28013
"47","Pakistan",5.0036
"48","Namibia",4.924244176
"49","Tajikistan",4.276924176
"50","Thailand",4.24168
"51","West Bank and Gaza Strip",4.11655
"52","Tunisia",3.72726
"53","Lao People's Democratic Republic",3.45449
"54","Botswana",2.963379824
"55","Philippines",2.71744096
"56","TÃ¼rkiye",2.42213
"57","Ukraine",2.23618
"58","Chad",2.11781
"59","Central African Republic",1.80827
"60","Eswatini",1.781765328
"61","Lesotho",1.7492432
"62","Egypt",1.70236
"63","Peru",1.67392
"64","Marshall Islands",1.57575792
"65","Kyrgyzstan",1.569351344
"66","Libya",1.49926
"67","Dominican Republic",1.43169
"68","Ecuador",1.40728
"69","Jamaica",1.09347
"70","Brazil",0.92018
"71","Honduras",0.83862
"72","Micronesia",0.707541344
"73","Mexico",0.4099
"74","El Salvador",0.37786
"75","Kazakhstan",0.37338
"76","Mauritania",0.37321
"77","Malaysia",0.37
"78","Serbia",0.319
"79","Armenia",0.3112
"80","Panama",0.29603
"81","Guyana",0.29584
"82","Belize",0.26004
"83","Nicaragua",0.24999
"84","Congo",0.23408
"85","Uzbekistan",0.228907008
"86","Costa Rica",0.2176
"87","Timor-Leste",0.20485
"88","Vanuatu",0.19812
"89","Moldova",0.18717
"90","Djibouti",0.16897624
"91","Togo",0.164240704
"92","Paraguay",0.15366
"93","Mongolia",0.13402
"94","Gambia",0.13002
"95","Georgia",0.10957
"96","Albania",0.08434
"97","Kosovo",0.05439
"98","Algeria",0.03097
"99","Palau",0.024476208
"100","Saint Vincent and the Grenadines",0.02129
"101","Papua New Guinea",0.011641968
"102","Dominica",0.0096
"103","Bosnia and Herzegovina",0.00688
"104","Bolivia",0.0056
"105","Fiji",0.0056
"106","Montenegro",0.00467
"107","Azerbaijan",0.0027
"108","Comoros",0.001
"109","Sri Lanka",0.001
"110","Tonga",0.0006
"111","Morocco",0.00043
"112","Antigua and Barbuda",0
"113","Argentina",0
"114","Belarus",0
"115","Bhutan",0
"116","Cabo Verde",0
"117","China (People's Republic of)",0
"118","Cuba",0
"119","Democratic People's Republic of Korea",0
"120","Equatorial Guinea",0
"121","Gabon",0
"122","Guinea-Bissau",0
"123","Kiribati",0
"124","Maldives",0
"125","Mauritius",0
"126","North Macedonia",0
"127","Saint Lucia",0
"128","Samoa",0
"129","Sao Tome and Principe",0
"130","Solomon Islands",0
"131","Suriname",0
"132","Turkmenistan",0
"133","Tuvalu",0
