"","PurposeName","Funding_2021"
"1","Agricultural development",52.08
"2","Household food security programmes",45.11
"3","Rural development",26.61
"4","Food security policy and administrative management",12.82
"5","Agricultural financial services",12.5
"6","Agricultural policy and administrative management",7.11
"7","Food crop production",1.49
"8","Food safety and quality",1.31
"9","Agricultural education/training",0.51
"10","Agricultural land resources",0.25
"11","Agricultural inputs",0.23
"12","Agricultural research",0.21
"13","Industrial crops/export crops",0.16
"14","Agricultural water resources",0.14
"15","Agrarian reform",0.11
"16","Fishery development",0.11
"17","Agricultural extension",0.08
"18","Agricultural co-operatives",0.04
