"Year","Income Group","ODA","Share","Donor"
"2018","WorldBank Low income countries",621.313861,"15%","Netherlands"
"2019","WorldBank Low income countries",585.310313,"15%","Netherlands"
"2020","WorldBank Low income countries",586.2274,"15%","Netherlands"
"2021","WorldBank Low income countries",476.218901,"12%","Netherlands"
"2022","WorldBank Low income countries",492.436446,"11%","Netherlands"
"2018","WorldBank Low income countriesM",311.388778,"8%","Netherlands"
"2019","WorldBank Low income countriesM",209.269967,"6%","Netherlands"
"2020","WorldBank Low income countriesM",184.292952,"5%","Netherlands"
"2021","WorldBank Low income countriesM",179.14004,"5%","Netherlands"
"2022","WorldBank Low income countriesM",388.790857,"8%","Netherlands"
"2018","Part I Unallocated by income",372.812836,"9%","Netherlands"
"2019","Part I Unallocated by income",247.939417,"7%","Netherlands"
"2020","Part I Unallocated by income",289.971491,"7%","Netherlands"
"2021","Part I Unallocated by income",396.36337,"10%","Netherlands"
"2022","Part I Unallocated by income",297.825261,"6%","Netherlands"
"2018","WorldBank Upper-middle income countries",128.303578,"3%","Netherlands"
"2019","WorldBank Upper-middle income countries",93.757946,"2%","Netherlands"
"2020","WorldBank Upper-middle income countries",96.657217,"2%","Netherlands"
"2021","WorldBank Upper-middle income countries",87.114728,"2%","Netherlands"
"2022","WorldBank Upper-middle income countries",56.131392,"1%","Netherlands"
"2018","Countries not classified by the World Bank",0,"0%","Netherlands"
"2019","Countries not classified by the World Bank",2.67867,"0%","Netherlands"
"2020","Countries not classified by the World Bank",1.35896,"0%","Netherlands"
"2021","Countries not classified by the World Bank",2.36518,"0%","Netherlands"
"2022","Countries not classified by the World Bank",2.247339,"0%","Netherlands"
"2018","WorldBank High income countries",0.025677,"0%","Netherlands"
"2019","WorldBank High income countries",0.023048,"0%","Netherlands"
"2020","WorldBank High income countries",0,"0%","Netherlands"
"2021","WorldBank High income countries",0.020373,"0%","Netherlands"
"2022","WorldBank High income countries",0.038595,"0%","Netherlands"
