"Year","Multi_short","ODA","Share","full name","country"
"2018","GEF-Least Developed Countries Fund",10.191617,"1%","Global Environment Facility - Least Developed Countries Fund","Netherlands"
"2018","EC - Development Share of Budget",419.814963,"21%","European Commission - Development Share of Budget","Netherlands"
"2018","FAO",4.259658,"0%","Food and Agricultural Organisation","Netherlands"
"2018","IFAD",27.998949,"1%","International Fund for Agricultural Development","Netherlands"
"2018","Gavi",67.038782,"3%","Global Alliance for Vaccines and Immunization","Netherlands"
"2018","WHO - assessed contributions",15.070056,"1%","World Health Organisation - assessed contributions","Netherlands"
"2018","UN agency, fund or commission",531.67584,"26%","United Nations (UN) agency, fund or commission","Netherlands"
"2018","AfDB",68.828267,"3%","African Development Bank","Netherlands"
"2018","GEF Fund",47.833658,"2%","Global Environment Facility Trust Fund","Netherlands"
"2018","WFP",40.725743,"2%","World Food Programme","Netherlands"
"2018","GCF",15.653958,"1%","Green Climate Fund","Netherlands"
"2018","IMF",4.836182,"0%","International Monetary Fund (IMF)","Netherlands"
"2018","UNEP",6.908935,"0%","United Nations Environment Programme","Netherlands"
"2018","IDA",459.484382,"23%","International Development Association","Netherlands"
"2018","UNDP",88.084313,"4%","United Nations Development Programme","Netherlands"
"2018","ADB",2.386274,"0%","Asian Development Bank","Netherlands"
"2018","EC - EDF",272.673755,"14%","European Commission - European Development Fund","Netherlands"
"2018","UN Women",10.181436,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Netherlands"
"2018","WB",459.484382,"23%","World Bank Group (WB)","Netherlands"
"2018","UNFPA",41.998423,"2%","United Nations Population Fund","Netherlands"
"2018","AIIB",38.320379,"2%","Asian Infrastructure Investment Bank","Netherlands"
"2018","	
Regional Development Banks",109.53492,"5%","Regional Development Banks","Netherlands"
"2018","Other multilateral institutions",218.825642,"11%","Other multilateral institutions","Netherlands"
"2018","the Sahel Club",0.254536,"0%","Sahel and West Africa Club","Netherlands"
"2018","Global Fund",70.980622,"4%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Netherlands"
"2018","UNOCHA",76.360768,"4%","United Nations Office of Co-ordination of Humanitarian Affairs","Netherlands"
