"Year","Income Group","ODA","Share","Donor"
"2017","WorldBank Upper-middle income countries",190.05273,"0.277272689818142%","Austria"
"2018","WorldBank Upper-middle income countries",168.124872,"0.321430798059757%","Austria"
"2019","WorldBank Upper-middle income countries",148.511736,"0.296561925557768%","Austria"
"2020","WorldBank Upper-middle income countries",167.805764,"0.279163566644832%","Austria"
"2021","WorldBank Upper-middle income countries",179.693317,"0.249290692353529%","Austria"
"2017","Part I Unallocated by income",62.378832,"0.0910060409884878%","Austria"
"2018","Part I Unallocated by income",57.52592,"0.109981361798281%","Austria"
"2019","Part I Unallocated by income",47.16284,"0.0941791067957952%","Austria"
"2020","Part I Unallocated by income",78.495416,"0.130585861733747%","Austria"
"2021","Part I Unallocated by income",145.247727,"0.201503912505585%","Austria"
"2017","WorldBank Lower-middle income countries",110.008443,"0.160494073898943%","Austria"
"2018","WorldBank Lower-middle income countries",113.786565,"0.21754369809381%","Austria"
"2019","WorldBank Lower-middle income countries",96.989456,"0.1936774870786%","Austria"
"2020","WorldBank Lower-middle income countries",91.395681,"0.152046888472158%","Austria"
"2021","WorldBank Lower-middle income countries",126.8721,"0.176011184930968%","Austria"
"2017","WorldBank Low income countries",67.274034,"0.098147773842013%","Austria"
"2018","WorldBank Low income countries",56.648469,"0.108303800519969%","Austria"
"2019","WorldBank Low income countries",72.245937,"0.144267347265035%","Austria"
"2020","WorldBank Low income countries",70.897663,"0.117946153922718%","Austria"
"2021","WorldBank Low income countries",96.278255,"0.133567977085868%","Austria"
"2017","Countries not classified by the World Bank",0.348541,"0.00050849519805322%","Austria"
"2018","Countries not classified by the World Bank",0.446663,"0.000853956008090017%","Austria"
"2019","Countries not classified by the World Bank",1.47333,"0.00294208116846757%","Austria"
"2020","Countries not classified by the World Bank",1.594108,"0.00265197609598834%","Austria"
"2021","Countries not classified by the World Bank",1.604306,"0.00222567294189867%","Austria"
"2017","WorldBank High income countries",0.530331,"0.000773713184040793%","Austria"
"2018","WorldBank High income countries",0.030253,"0.0000578394250536698%","Austria"
"2019","WorldBank High income countries",0.019979,"0.0000398959090392604%","Austria"
"2020","WorldBank High income countries",0.066938,"0.000111358813777528%","Austria"
"2021","WorldBank High income countries",0.033185,"0.0000460379482323867%","Austria"
