"Year","Region","Bilateral ODA","Share","Donor"
"2017","Developing countries, unspecified",254.843257,"0.371797213070321%","Austria"
"2018","Developing countries, unspecified",126.488792,"0.241828546095039%","Austria"
"2019","Developing countries, unspecified",134.374884,"0.268332156225295%","Austria"
"2020","Developing countries, unspecified",190.846379,"0.317494194316778%","Austria"
"2021","Developing countries, unspecified",171.089506,"0.237354522233919%","Austria"
"2017","Europe",165.061062,"0.240811719173827%","Austria"
"2018","Europe",143.325848,"0.274018597945647%","Austria"
"2019","Europe",124.114637,"0.247843549136234%","Austria"
"2020","Europe",139.734288,"0.232463541721107%","Austria"
"2021","Europe",164.395882,"0.228068377433586%","Austria"
"2017","sub-Saharan Africa",83.023397,"0.121124914143719%","Austria"
"2018","sub-Saharan Africa",74.072766,"0.141616573482796%","Austria"
"2019","sub-Saharan Africa",79.749734,"0.159251620880385%","Austria"
"2020","sub-Saharan Africa",73.073969,"0.121566681195372%","Austria"
"2021","sub-Saharan Africa",102.22337,"0.141815706379392%","Austria"
"2017","MENA region",63.231823,"0.0922504909311993%","Austria"
"2018","MENA region",53.791448,"0.102841583483436%","Austria"
"2019","MENA region",61.57722,"0.122963069623631%","Austria"
"2020","MENA region",57.067958,"0.0949389002896079%","Austria"
"2021","MENA region",86.57268,"0.120103316564079%","Austria"
"2017","Asia",79.591866,"0.116118567586296%","Austria"
"2018","Asia",77.163287,"0.147525209246399%","Austria"
"2019","Asia",68.580561,"0.136947986561762%","Austria"
"2020","Asia",64.718074,"0.107665719779591%","Austria"
"2021","Asia",80.308948,"0.111413566087733%","Austria"
"2017","Africa, regional",3.54016,"0.00516482812736547%","Austria"
"2018","Africa, regional",6.838762,"0.0130747384444149%","Austria"
"2019","Africa, regional",6.557884,"0.0130953873344022%","Austria"
"2020","Africa, regional",33.207981,"0.0552451727285948%","Austria"
"2021","Africa, regional",60.354653,"0.0837307334758976%","Austria"
"2017","Latin America and the Caribbeans",32.826438,"0.0478913129077834%","Austria"
"2018","Latin America and the Caribbeans",36.348536,"0.0694932212931814%","Austria"
"2019","Latin America and the Caribbeans",24.316323,"0.0485570754580948%","Austria"
"2020","Latin America and the Caribbeans",38.627276,"0.0642607731754335%","Austria"
"2021","Latin America and the Caribbeans",32.680204,"0.045337638691452%","Austria"
"2017","Asia, regional",2.74194,"0.0040002849689134%","Austria"
"2018","Asia, regional",3.890479,"0.00743804146839573%","Austria"
"2019","Asia, regional",1.099631,"0.00219584455441969%","Austria"
"2020","Asia, regional",2.999102,"0.00498934000295514%","Austria"
"2021","Asia, regional",22.611163,"0.0313687374316124%","Austria"
"2017","Oceania",0.576225,"0.000840669090575331%","Austria"
"2018","Oceania",1.131616,"0.00216348854069129%","Austria"
"2019","Oceania",0.407288,"0.000813310225776179%","Austria"
"2020","Oceania",0.826922,"0.00137567679056053%","Austria"
"2021","Oceania",0.58199,"0.000807401702328363%","Austria"
