"Year","Recipient country","ODA Grants","ODA Loans","Share","Donor"
"2017","Serbia",13.723257,NA,"2.05%","Austria"
"2018","Serbia",14.312166,NA,"2.83%","Austria"
"2019","Serbia",14.194061,NA,"2.92%","Austria"
"2020","Serbia",12.135576,NA,"2.42%","Austria"
"2021","Serbia",11.738139,NA,"1.86%","Austria"
"2017","Serbia",NA,0,NA,"Austria"
"2018","Serbia",NA,0,NA,"Austria"
"2019","Serbia",NA,0,NA,"Austria"
"2020","Serbia",NA,6.02784,"6.00%","Austria"
"2021","Serbia",NA,17.738884,"19.62%","Austria"
"2017","Serbia",NA,NA,"2.00%","Austria"
"2018","Serbia",NA,NA,"2.74%","Austria"
"2019","Serbia",NA,NA,"2.83%","Austria"
"2020","Serbia",NA,NA,"3.02%","Austria"
"2021","Serbia",NA,NA,"4.09%","Austria"
"2017","Türkiye",50.933044,NA,"7.60%","Austria"
"2018","Türkiye",35.898407,NA,"7.10%","Austria"
"2019","Türkiye",24.176543,NA,"4.97%","Austria"
"2020","Türkiye",21.537638,NA,"4.30%","Austria"
"2021","Türkiye",27.452166,NA,"4.35%","Austria"
"2017","Türkiye",NA,0,NA,"Austria"
"2018","Türkiye",NA,0,NA,"Austria"
"2019","Türkiye",NA,0,NA,"Austria"
"2020","Türkiye",NA,8.650444,"8.61%","Austria"
"2021","Türkiye",NA,0.822895,"0.91%","Austria"
"2017","Türkiye",NA,NA,"7.43%","Austria"
"2018","Türkiye",NA,NA,"6.86%","Austria"
"2019","Türkiye",NA,NA,"4.83%","Austria"
"2020","Türkiye",NA,NA,"5.02%","Austria"
"2021","Türkiye",NA,NA,"3.92%","Austria"
"2017","Bosnia and Herzegovina",23.625934,NA,"3.53%","Austria"
"2018","Bosnia and Herzegovina",23.583612,NA,"4.67%","Austria"
"2019","Bosnia and Herzegovina",22.60908,NA,"4.65%","Austria"
"2020","Bosnia and Herzegovina",21.705406,NA,"4.34%","Austria"
"2021","Bosnia and Herzegovina",26.460851,NA,"4.20%","Austria"
"2017","Bosnia and Herzegovina",NA,0,NA,"Austria"
"2018","Bosnia and Herzegovina",NA,0,NA,"Austria"
"2019","Bosnia and Herzegovina",NA,0,NA,"Austria"
"2020","Bosnia and Herzegovina",NA,0,NA,"Austria"
"2021","Bosnia and Herzegovina",NA,0,NA,"Austria"
"2017","Bosnia and Herzegovina",NA,NA,"3.45%","Austria"
"2018","Bosnia and Herzegovina",NA,NA,"4.51%","Austria"
"2019","Bosnia and Herzegovina",NA,NA,"4.51%","Austria"
"2020","Bosnia and Herzegovina",NA,NA,"3.61%","Austria"
"2021","Bosnia and Herzegovina",NA,NA,"3.67%","Austria"
"2017","Ukraine",20.611126,NA,"3.08%","Austria"
"2018","Ukraine",20.249995,NA,"4.01%","Austria"
"2019","Ukraine",15.714161,NA,"3.23%","Austria"
"2020","Ukraine",17.338295,NA,"3.46%","Austria"
"2021","Ukraine",20.501205,NA,"3.25%","Austria"
"2017","Ukraine",NA,0,NA,"Austria"
"2018","Ukraine",NA,0,NA,"Austria"
"2019","Ukraine",NA,0,NA,"Austria"
"2020","Ukraine",NA,0,NA,"Austria"
"2021","Ukraine",NA,0,NA,"Austria"
"2017","Ukraine",NA,NA,"3.01%","Austria"
"2018","Ukraine",NA,NA,"3.87%","Austria"
"2019","Ukraine",NA,NA,"3.14%","Austria"
"2020","Ukraine",NA,NA,"2.88%","Austria"
"2021","Ukraine",NA,NA,"2.84%","Austria"
"2017","Iran",12.597762,NA,"1.88%","Austria"
"2018","Iran",12.823757,NA,"2.54%","Austria"
"2019","Iran",12.033798,NA,"2.47%","Austria"
"2020","Iran",11.855,NA,"2.37%","Austria"
"2021","Iran",18.463349,NA,"2.93%","Austria"
"2017","Iran",NA,0,NA,"Austria"
"2018","Iran",NA,0,NA,"Austria"
"2019","Iran",NA,0,NA,"Austria"
"2020","Iran",NA,0,NA,"Austria"
"2021","Iran",NA,0,NA,"Austria"
"2017","Iran",NA,NA,"1.84%","Austria"
"2018","Iran",NA,NA,"2.45%","Austria"
"2019","Iran",NA,NA,"2.40%","Austria"
"2020","Iran",NA,NA,"1.97%","Austria"
"2021","Iran",NA,NA,"2.56%","Austria"
"2017","Syrian Arab Republic",8.499765,NA,"1.27%","Austria"
"2018","Syrian Arab Republic",8.721332,NA,"1.73%","Austria"
"2019","Syrian Arab Republic",14.329207,NA,"2.95%","Austria"
"2020","Syrian Arab Republic",18.788659,NA,"3.75%","Austria"
"2021","Syrian Arab Republic",17.74084,NA,"2.81%","Austria"
"2017","Syrian Arab Republic",NA,0,NA,"Austria"
"2018","Syrian Arab Republic",NA,0,NA,"Austria"
"2019","Syrian Arab Republic",NA,0,NA,"Austria"
"2020","Syrian Arab Republic",NA,0,NA,"Austria"
"2021","Syrian Arab Republic",NA,0,NA,"Austria"
"2017","Syrian Arab Republic",NA,NA,"1.24%","Austria"
"2018","Syrian Arab Republic",NA,NA,"1.67%","Austria"
"2019","Syrian Arab Republic",NA,NA,"2.86%","Austria"
"2020","Syrian Arab Republic",NA,NA,"3.13%","Austria"
"2021","Syrian Arab Republic",NA,NA,"2.46%","Austria"
"2017","Uganda",16.240015,NA,"2.42%","Austria"
"2018","Uganda",8.685722,NA,"1.72%","Austria"
"2019","Uganda",16.546196,NA,"3.40%","Austria"
"2020","Uganda",13.189427,NA,"2.63%","Austria"
"2021","Uganda",16.523314,NA,"2.62%","Austria"
"2017","Uganda",NA,0,NA,"Austria"
"2018","Uganda",NA,0,NA,"Austria"
"2019","Uganda",NA,0,NA,"Austria"
"2020","Uganda",NA,0,NA,"Austria"
"2021","Uganda",NA,0,NA,"Austria"
"2017","Uganda",NA,NA,"2.37%","Austria"
"2018","Uganda",NA,NA,"1.66%","Austria"
"2019","Uganda",NA,NA,"3.30%","Austria"
"2020","Uganda",NA,NA,"2.19%","Austria"
"2021","Uganda",NA,NA,"2.29%","Austria"
"2017","Ethiopia",12.888424,NA,"1.92%","Austria"
"2018","Ethiopia",14.346227,NA,"2.84%","Austria"
"2019","Ethiopia",12.900521,NA,"2.65%","Austria"
"2020","Ethiopia",12.564303,NA,"2.51%","Austria"
"2021","Ethiopia",16.24493,NA,"2.58%","Austria"
"2017","Ethiopia",NA,0,NA,"Austria"
"2018","Ethiopia",NA,0,NA,"Austria"
"2019","Ethiopia",NA,0,NA,"Austria"
"2020","Ethiopia",NA,0,NA,"Austria"
"2021","Ethiopia",NA,0,NA,"Austria"
"2017","Ethiopia",NA,NA,"1.88%","Austria"
"2018","Ethiopia",NA,NA,"2.74%","Austria"
"2019","Ethiopia",NA,NA,"2.58%","Austria"
"2020","Ethiopia",NA,NA,"2.09%","Austria"
"2021","Ethiopia",NA,NA,"2.25%","Austria"
"2017","Albania",10.306242,NA,"1.54%","Austria"
"2018","Albania",10.402002,NA,"2.06%","Austria"
"2019","Albania",11.668086,NA,"2.40%","Austria"
"2020","Albania",11.128689,NA,"2.22%","Austria"
"2021","Albania",13.923682,NA,"2.21%","Austria"
"2017","Albania",NA,0,NA,"Austria"
"2018","Albania",NA,0,NA,"Austria"
"2019","Albania",NA,0,NA,"Austria"
"2020","Albania",NA,0,NA,"Austria"
"2021","Albania",NA,0,NA,"Austria"
"2017","Albania",NA,NA,"1.50%","Austria"
"2018","Albania",NA,NA,"1.99%","Austria"
"2019","Albania",NA,NA,"2.33%","Austria"
"2020","Albania",NA,NA,"1.85%","Austria"
"2021","Albania",NA,NA,"1.93%","Austria"
"2017","Burkina Faso",6.622039,NA,"0.99%","Austria"
"2018","Burkina Faso",6.438567,NA,"1.27%","Austria"
"2019","Burkina Faso",8.786262,NA,"1.81%","Austria"
"2020","Burkina Faso",7.930241,NA,"1.58%","Austria"
"2021","Burkina Faso",13.68406,NA,"2.17%","Austria"
"2017","Burkina Faso",NA,0,NA,"Austria"
"2018","Burkina Faso",NA,0,NA,"Austria"
"2019","Burkina Faso",NA,0,NA,"Austria"
"2020","Burkina Faso",NA,0,NA,"Austria"
"2021","Burkina Faso",NA,0,NA,"Austria"
"2017","Burkina Faso",NA,NA,"0.97%","Austria"
"2018","Burkina Faso",NA,NA,"1.23%","Austria"
"2019","Burkina Faso",NA,NA,"1.75%","Austria"
"2020","Burkina Faso",NA,NA,"1.32%","Austria"
"2021","Burkina Faso",NA,NA,"1.90%","Austria"
"2017","Mozambique",5.267371,NA,"0.79%","Austria"
"2018","Mozambique",7.672498,NA,"1.52%","Austria"
"2019","Mozambique",9.102692,NA,"1.87%","Austria"
"2020","Mozambique",11.449699,NA,"2.29%","Austria"
"2021","Mozambique",12.888374,NA,"2.04%","Austria"
"2017","Mozambique",NA,0,NA,"Austria"
"2018","Mozambique",NA,0,NA,"Austria"
"2019","Mozambique",NA,0,NA,"Austria"
"2020","Mozambique",NA,0,NA,"Austria"
"2021","Mozambique",NA,0,NA,"Austria"
"2017","Mozambique",NA,NA,"0.77%","Austria"
"2018","Mozambique",NA,NA,"1.47%","Austria"
"2019","Mozambique",NA,NA,"1.82%","Austria"
"2020","Mozambique",NA,NA,"1.90%","Austria"
"2021","Mozambique",NA,NA,"1.79%","Austria"
"2017","India",4.54144,NA,"0.68%","Austria"
"2018","India",5.462591,NA,"1.08%","Austria"
"2019","India",5.068088,NA,"1.04%","Austria"
"2020","India",10.314176,NA,"2.06%","Austria"
"2021","India",11.669732,NA,"1.85%","Austria"
"2017","India",NA,0,NA,"Austria"
"2018","India",NA,0,NA,"Austria"
"2019","India",NA,0,NA,"Austria"
"2020","India",NA,0,NA,"Austria"
"2021","India",NA,0,NA,"Austria"
