"Year","Multi_short","ODA","Share","full name","country"
"2017","UN agency, fund or commission",28.931279,"4%","United Nations (UN) agency, fund or commission","Austria"
"2018","UN agency, fund or commission",31.658935,"4%","United Nations (UN) agency, fund or commission","Austria"
"2019","UN agency, fund or commission",43.461895,"5%","United Nations (UN) agency, fund or commission","Austria"
"2020","UN agency, fund or commission",46.709155,"6%","United Nations (UN) agency, fund or commission","Austria"
"2021","UN agency, fund or commission",46.243909,"6%","United Nations (UN) agency, fund or commission","Austria"
"2021","CERF",2.838221,"0%","Central Emergency Response Fund","Austria"
"2017","FAO",2.338633,"0%","Food and Agricultural Organisation","Austria"
"2018","FAO",3.126031,"0%","Food and Agricultural Organisation","Austria"
"2019","FAO",3.160431,"0%","Food and Agricultural Organisation","Austria"
"2020","FAO",2.921108,"0%","Food and Agricultural Organisation","Austria"
"2021","FAO",2.762304,"0%","Food and Agricultural Organisation","Austria"
"2019","IFAD",6.59447,"1%","International Fund for Agricultural Development","Austria"
"2020","IFAD",6.429294,"1%","International Fund for Agricultural Development","Austria"
"2021","IFAD",6.306764,"1%","International Fund for Agricultural Development","Austria"
"2017","UNDP",2.019136,"0%","United Nations Development Programme","Austria"
"2018","UNDP",1.945543,"0%","United Nations Development Programme","Austria"
"2019","UNDP",1.916278,"0%","United Nations Development Programme","Austria"
"2020","UNDP",1.567238,"0%","United Nations Development Programme","Austria"
"2021","UNDP",1.182592,"0%","United Nations Development Programme","Austria"
"2017","UN Women",0.319483,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Austria"
"2018","UN Women",0.313797,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Austria"
"2019","UN Women",0.309077,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Austria"
"2020","UN Women",0.301392,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Austria"
"2021","UN Women",0.295648,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Austria"
"2018","UNEP",1.334991,"0%","United Nations Environment Programme","Austria"
"2020","UNEP",0.482227,"0%","United Nations Environment Programme","Austria"
"2021","UNEP",0.473037,"0%","United Nations Environment Programme","Austria"
"2017","UNFCCC",0.15955,"0%","United Nations Framework Convention on Climate Change","Austria"
"2018","UNFCCC",0.157542,"0%","United Nations Framework Convention on Climate Change","Austria"
"2019","UNFCCC",0.152463,"0%","United Nations Framework Convention on Climate Change","Austria"
"2020","UNFCCC",0.137207,"0%","United Nations Framework Convention on Climate Change","Austria"
"2021","UNFCCC",0.124956,"0%","United Nations Framework Convention on Climate Change","Austria"
"2017","UNOCHA",0.115014,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Austria"
"2018","UNOCHA",0.112967,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Austria"
"2019","UNOCHA",0.112504,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Austria"
"2020","UNOCHA",0.109707,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Austria"
"2021","UNOCHA",0.107616,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Austria"
"2018","UNFPA",0.251038,"0%","United Nations Population Fund","Austria"
"2019","UNFPA",0.247262,"0%","United Nations Population Fund","Austria"
"2020","UNFPA",0.241114,"0%","United Nations Population Fund","Austria"
"2021","UNFPA",0.236518,"0%","United Nations Population Fund","Austria"
"2017","WHO - assessed contributions",3.044182,"0%","World Health Organisation - assessed contributions","Austria"
"2018","WHO - assessed contributions",2.787741,"0%","World Health Organisation - assessed contributions","Austria"
"2019","WHO - assessed contributions",2.858167,"0%","World Health Organisation - assessed contributions","Austria"
"2020","WHO - assessed contributions",2.736849,"0%","World Health Organisation - assessed contributions","Austria"
"2021","WHO - assessed contributions",2.556031,"0%","World Health Organisation - assessed contributions","Austria"
"2017","EUI",380.645186,"52%","European Union Institutions","Austria"
"2018","EUI",402.788438,"47%","European Union Institutions","Austria"
"2019","EUI",412.213755,"51%","European Union Institutions","Austria"
"2020","EUI",443.342517,"57%","European Union Institutions","Austria"
"2021","EUI",415.642181,"56%","European Union Institutions","Austria"
"2017","EC - Development Share of Budget",257.782239,"35%","European Commission - Development Share of Budget","Austria"
"2018","EC - Development Share of Budget",267.959934,"31%","European Commission - Development Share of Budget","Austria"
"2019","EC - Development Share of Budget",272.853246,"34%","European Commission - Development Share of Budget","Austria"
"2020","EC - Development Share of Budget",307.443198,"39%","European Commission - Development Share of Budget","Austria"
"2021","EC - Development Share of Budget",309.203408,"42%","European Commission - Development Share of Budget","Austria"
"2017","EC - EDF",122.862947,"17%","European Commission - European Development Fund","Austria"
"2018","EC - EDF",134.828504,"16%","European Commission - European Development Fund","Austria"
"2019","EC - EDF",139.360509,"17%","European Commission - European Development Fund","Austria"
"2020","EC - EDF",135.899319,"17%","European Commission - European Development Fund","Austria"
"2021","EC - EDF",106.438773,"14%","European Commission - European Development Fund","Austria"
"2017","WB",212.34846,"29%","World Bank Group (WB)","Austria"
"2018","WB",201.491041,"23%","World Bank Group (WB)","Austria"
"2019","WB",254.590031,"32%","World Bank Group (WB)","Austria"
"2020","WB",195.047978,"25%","World Bank Group (WB)","Austria"
"2021","WB",214.75674,"29%","World Bank Group (WB)","Austria"
"2019","IBRD",56.658451,"8%","International Bank for Reconstruction and Development","Austria"
"2017","IDA",205.754321,"24%","International Development Association","Austria"
"2018","IDA",160.588925,"20%","International Development Association","Austria"
"2019","IDA",183.22093,"23%","International Development Association","Austria"
"2020","IDA",178.653115,"24%","International Development Association","Austria"
"2021","IDA",191.09508,"26%","International Development Association","Austria"
"2017","HIPC Debt Initiative Trust Fund",6.594139,"1%","International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund","Austria"
"2018","HIPC Debt Initiative Trust Fund",40.902116,"5%","International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund","Austria"
"2019","HIPC Debt Initiative Trust Fund",7.075394,"1%","International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund","Austria"
"2020","HIPC Debt Initiative Trust Fund",6.899465,"1%","International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund","Austria"
"2021","HIPC Debt Initiative Trust Fund",2.740066,"0%","International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund","Austria"
"2019","MDRI",7.635256,"1%","International Development Association - Multilateral Debt Relief Initiative","Austria"
"2020","MDRI",9.495398,"1%","International Development Association - Multilateral Debt Relief Initiative","Austria"
"2021","MDRI",10.509047,"1%","International Development Association - Multilateral Debt Relief Initiative","Austria"
"2017","	
Regional Development Banks",83.244219,"11%","Regional Development Banks","Austria"
"2018","	
Regional Development Banks",81.334451,"11%","Regional Development Banks","Austria"
"2019","	
Regional Development Banks",78.848776,"9%","Regional Development Banks","Austria"
"2020","	
Regional Development Banks",67.77556,"8%","Regional Development Banks","Austria"
"2021","	
Regional Development Banks",55.493107,"7%","Regional Development Banks","Austria"
"2017","AfDB",2.163585,"0%","African Development Bank","Austria"
"2018","AfDB",2.125078,"0%","African Development Bank","Austria"
"2020","AfDB",4.029537,"0%","African Development Bank","Austria"
"2021","AfDB",3.952742,"0%","African Development Bank","Austria"
"2017","African Development Fund",53.744744,"7%","African Development Fund","Austria"
"2018","African Development Fund",51.981593,"7%","African Development Fund","Austria"
"2019","African Development Fund",51.635382,"7%","African Development Fund","Austria"
"2020","African Development Fund",56.367521,"7%","African Development Fund","Austria"
"2021","African Development Fund",45.616571,"6%","African Development Fund","Austria"
"2017","ADF",6.728322,"1%","Asian Development Fund","Austria"
"2018","ADF",6.608572,"1%","Asian Development Fund","Austria"
"2019","ADF",6.509165,"1%","Asian Development Fund","Austria"
"2020","ADF",6.347315,"1%","Asian Development Fund","Austria"
"2021","ADF",5.594403,"1%","Asian Development Fund","Austria"
"2017","AIIB",18.469647,"2%","Asian Infrastructure Investment Bank","Austria"
"2018","AIIB",18.852743,"3%","Asian Infrastructure Investment Bank","Austria"
"2019","AIIB",18.919486,"3%","Asian Infrastructure Investment Bank","Austria"
"2017","IDB, IIC and MIF",2.137921,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Austria"
"2018","IDB, IIC and MIF",1.766465,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Austria"
"2019","IDB, IIC and MIF",1.784743,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Austria"
"2020","IDB, IIC and MIF",1.031187,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Austria"
"2021","IDB, IIC and MIF",0.329391,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Austria"
"2017","Other multilateral institutions",32.423311,"4%","Other multilateral institutions","Austria"
"2018","Other multilateral institutions",9.015746,"1%","Other multilateral institutions","Austria"
"2019","Other multilateral institutions",75.631077,"10%","Other multilateral institutions","Austria"
"2020","Other multilateral institutions",51.127182,"7%","Other multilateral institutions","Austria"
"2021","Other multilateral institutions",51.243494,"7%","Other multilateral institutions","Austria"
"2017","GEF Fund",16.063629,"2%","Global Environment Facility Trust Fund","Austria"
"2019","GEF Fund",31.216791,"4%","Global Environment Facility Trust Fund","Austria"
"2020","GEF Fund",15.220295,"2%","Global Environment Facility Trust Fund","Austria"
"2021","GEF Fund",14.930227,"2%","Global Environment Facility Trust Fund","Austria"
"2017","GCF",7.667604,"1%","Green Climate Fund","Austria"
"2018","GCF",3.012454,"0%","Green Climate Fund","Austria"
"2019","GCF",37.089257,"5%","Green Climate Fund","Austria"
"2020","GCF",30.139199,"4%","Green Climate Fund","Austria"
"2021","GCF",29.564806,"4%","Green Climate Fund","Austria"
"2021","IPCC",0.043764,"0%","Intergovernmental Panel on Climate Change","Austria"
