"Sector","climate-related ODA to","Share","Donor"
"Water and sanitation",51.5,"37%","Austria"
"Energy",25.7,"19%","Austria"
"Agriculture (incl. forestry, fishing, rural development)",24.1,"18%","Austria"
"Other multisector",13.6,"10%","Austria"
"Environmental protection",8.8,"6%","Austria"
"Financial services and business support",6,"4%","Austria"
"Humanitarian aid",2.8,"2%","Austria"
"Government & civil society",1.9,"1%","Austria"
"Education",1.9,"1%","Austria"
"Conflict, peace and security",1.1,"1%","Austria"
"Infrastructure",0.2,"0%","Austria"
"Industry, construction & mining",0.1,"0%","Austria"
"Other social services",0,"0%","Austria"
"Health",0,"0%","Austria"
"Donor administration costs",0,"0%","Austria"
"Tourism",0,"0%","Austria"
"Unspecified",0,"0%","Austria"
