"Year","Sector","Gender-related ODA to","Share","Donor"
"2017","Health & populations",97.139183,"0.15174502371332%","Belgium"
"2018","Health & populations",84.836919,"0.149416376824063%","Belgium"
"2019","Health & populations",82.25219,"0.133133281234097%","Belgium"
"2020","Health & populations",90.219115,"0.138907713713542%","Belgium"
"2021","Health & populations",91.299605,"0.155734025132452%","Belgium"
"2017","Humanitarian aid",185.974857,"0.290518802135141%","Belgium"
"2018","Humanitarian aid",124.4738,"0.219225596883392%","Belgium"
"2019","Humanitarian aid",111.127849,"0.179871383045938%","Belgium"
"2020","Humanitarian aid",150.030823,"0.230998038602919%","Belgium"
"2021","Humanitarian aid",90.410954,"0.154218211376544%","Belgium"
"2017","Agriculture (incl. forestry, fishing, rural development)",111.655081,"0.174420891660759%","Belgium"
"2018","Agriculture (incl. forestry, fishing, rural development)",108.82343,"0.191661870985284%","Belgium"
"2019","Agriculture (incl. forestry, fishing, rural development)",107.219389,"0.173545155083227%","Belgium"
"2020","Agriculture (incl. forestry, fishing, rural development)",105.187575,"0.161954210638419%","Belgium"
"2021","Agriculture (incl. forestry, fishing, rural development)",89.026381,"0.151856480168838%","Belgium"
"2017","Education",69.133994,"0.107996991892823%","Belgium"
"2018","Education",59.389932,"0.104598664872159%","Belgium"
"2019","Education",64.780609,"0.104853804336554%","Belgium"
"2020","Education",74.692444,"0.115001755755605%","Belgium"
"2021","Education",72.777642,"0.124140242756895%","Belgium"
"2017","Government & civil society",43.825966,"0.0684623037227845%","Belgium"
"2018","Government & civil society",52.471766,"0.0924142608394352%","Belgium"
"2019","Government & civil society",47.945843,"0.0776050753192693%","Belgium"
"2020","Government & civil society",53.054804,"0.0816869188437517%","Belgium"
"2021","Government & civil society",54.608458,"0.0931482120937594%","Belgium"
"2017","Environmental protection",21.95853,"0.0343023026615289%","Belgium"
"2018","Environmental protection",21.724761,"0.0382620575363976%","Belgium"
"2019","Environmental protection",36.980216,"0.0598561265885522%","Belgium"
"2020","Environmental protection",32.164573,"0.0495228455522129%","Belgium"
"2021","Environmental protection",45.293394,"0.0772590698451549%","Belgium"
"2017","Other social services",16.020336,"0.0250260110404197%","Belgium"
"2018","Other social services",15.770888,"0.0277759844656557%","Belgium"
"2019","Other social services",14.687146,"0.0237725942487883%","Belgium"
"2020","Other social services",17.798155,"0.0274032949599345%","Belgium"
"2021","Other social services",36.557362,"0.0623576096795178%","Belgium"
"2017","Financial services & business support",0.822454,"0.00128478846412693%","Belgium"
"2018","Financial services & business support",2.093084,"0.00368637889441054%","Belgium"
"2019","Financial services & business support",57.905769,"0.0937261977991545%","Belgium"
"2020","Financial services & business support",21.497637,"0.0330992784169259%","Belgium"
"2021","Financial services & business support",31.087789,"0.0530279020751335%","Belgium"
"2017","Unspecified",23.437401,"0.0366125065157649%","Belgium"
"2018","Unspecified",24.519593,"0.043184368202488%","Belgium"
"2019","Unspecified",22.202152,"0.0359363725904218%","Belgium"
"2020","Unspecified",29.542763,"0.0454861219278313%","Belgium"
"2021","Unspecified",28.131041,"0.0479844381155432%","Belgium"
"2017","Water and sanitation",26.472796,"0.0413542190979501%","Belgium"
"2018","Water and sanitation",26.678078,"0.0469859325677508%","Belgium"
"2019","Water and sanitation",22.679775,"0.0367094525191492%","Belgium"
"2020","Water and sanitation",14.406735,"0.0221816254895304%","Belgium"
"2021","Water and sanitation",22.679845,"0.0386860770233356%","Belgium"
"2017","Other multisector",23.679918,"0.0369913520730297%","Belgium"
"2018","Other multisector",21.669041,"0.0381639224247649%","Belgium"
"2019","Other multisector",16.997843,"0.0275126852244545%","Belgium"
"2020","Other multisector",13.427133,"0.0206733611469992%","Belgium"
"2021","Other multisector",18.645644,"0.0318047508672875%","Belgium"
"2017","Trade policy",0,"0%","Belgium"
"2018","Trade policy",2.452449,"0.00431929928909601%","Belgium"
"2019","Trade policy",2.076041,"0.00336027709786834%","Belgium"
"2020","Trade policy",2.527253,"0.0038911369969179%","Belgium"
"2021","Trade policy",2.492693,"0.00425190354667457%","Belgium"
"2017","Conflict, peace & security",2.254415,"0.00352171232112034%","Belgium"
"2018","Conflict, peace & security",3.074904,"0.00541557873832992%","Belgium"
"2019","Conflict, peace & security",4.089189,"0.00661875567272282%","Belgium"
