"Year","Recipient country","ODA Grants","ODA Loans","Share","Donor"
"2017","Afghanistan",79.393305,NA,"4.01%","Denmark"
"2018","Afghanistan",93.144311,NA,"4.70%","Denmark"
"2019","Afghanistan",85.101247,NA,"4.19%","Denmark"
"2020","Afghanistan",53.895593,NA,"2.93%","Denmark"
"2021","Afghanistan",108.328713,NA,"5.27%","Denmark"
"2017","Afghanistan",NA,0,NA,"Denmark"
"2018","Afghanistan",NA,0,NA,"Denmark"
"2019","Afghanistan",NA,0,NA,"Denmark"
"2020","Afghanistan",NA,0,NA,"Denmark"
"2021","Afghanistan",NA,0,NA,"Denmark"
"2017","Afghanistan",NA,NA,"3.92%","Denmark"
"2017","Mali",29.518731,NA,"1.49%","Denmark"
"2018","Mali",33.430272,NA,"1.69%","Denmark"
"2019","Mali",46.82353,NA,"2.30%","Denmark"
"2020","Mali",52.472686,NA,"2.86%","Denmark"
"2021","Mali",90.60068,NA,"4.41%","Denmark"
"2017","Mali",NA,0.727241,"1.63%","Denmark"
"2018","Mali",NA,0,NA,"Denmark"
"2019","Mali",NA,0,NA,"Denmark"
"2020","Mali",NA,0,NA,"Denmark"
"2021","Mali",NA,0,NA,"Denmark"
"2017","Syrian Arab Republic",49.714022,NA,"2.51%","Denmark"
"2018","Syrian Arab Republic",64.725778,NA,"3.27%","Denmark"
"2019","Syrian Arab Republic",91.688438,NA,"4.51%","Denmark"
"2020","Syrian Arab Republic",49.720336,NA,"2.71%","Denmark"
"2021","Syrian Arab Republic",77.113837,NA,"3.75%","Denmark"
"2017","Syrian Arab Republic",NA,0,NA,"Denmark"
"2018","Syrian Arab Republic",NA,0,NA,"Denmark"
"2019","Syrian Arab Republic",NA,0,NA,"Denmark"
"2020","Syrian Arab Republic",NA,0,NA,"Denmark"
"2021","Syrian Arab Republic",NA,0,NA,"Denmark"
"2017","Syrian Arab Republic",NA,NA,"2.46%","Denmark"
"2017","Ethiopia",35.149167,NA,"1.78%","Denmark"
