"Year","Sector","Bilateral ODA for","Share","Donor"
2017,"Health policy and administrative management",38.34323,"0.299623923165831%","Denmark"
2018,"Health policy and administrative management",31.934388,"0.225879726088051%","Denmark"
2019,"Health policy and administrative management",37.216607,"0.325716143518295%","Denmark"
2020,"Health policy and administrative management",37.404086,"0.344484214312417%","Denmark"
2021,"Health policy and administrative management",16.160909,"0.0835013639175425%","Denmark"
2018,"Medical education/training",0.045343,"0.000320722113729265%","Denmark"
2019,"Medical education/training",0.061532,"0.000538522110383887%","Denmark"
2020,"Medical research",1.634379,"0.0150523064700395%","Denmark"
2019,"Medical services",5.030113,"0.0440230622802676%","Denmark"
2020,"Medical services",4.903136,"0.0451569102003168%","Denmark"
2017,"Basic health care",12.508805,"0.0977470397829387%","Denmark"
2018,"Basic health care",5.532123,"0.0391300571636258%","Denmark"
2019,"Basic health care",1.241695,"0.0108671944980355%","Denmark"
2020,"Basic health care",3.108602,"0.0286296079412289%","Denmark"
2021,"Basic health care",4.03887,"0.0208683282410442%","Denmark"
2021,"Basic health infrastructure",1.985408,"0.0102583509338986%","Denmark"
2017,"Basic nutrition",3.332261,"0.0260391499055373%","Denmark"
2018,"Basic nutrition",0.761882,"0.00538897747066317%","Denmark"
2018,"Infectious disease control",3.388861,"0.023970241559991%","Denmark"
2020,"Infectious disease control",17.651289,"0.162564871195259%","Denmark"
2018,"Health education",0.001813,"0.0000128237918133154%","Denmark"
2019,"Health education",0.251506,"0.00220115617717952%","Denmark"
2020,"Health education",3.317779,"0.0305560866285367%","Denmark"
2021,"Health education",0.323525,"0.00167161257831617%","Denmark"
2017,"Population policy and administrative management",17.896448,"0.139847476607821%","Denmark"
2018,"Population policy and administrative management",50.765369,"0.359075854044199%","Denmark"
2019,"Population policy and administrative management",8.063027,"0.070566832154363%","Denmark"
2020,"Population policy and administrative management",13.702134,"0.126193936817316%","Denmark"
2021,"Population policy and administrative management",12.198318,"0.0630271595799413%","Denmark"
2017,"Reproductive health care",49.783803,"0.389023521622328%","Denmark"
2018,"Reproductive health care",42.120627,"0.297929482456872%","Denmark"
2019,"Reproductive health care",48.981488,"0.428681243702513%","Denmark"
2020,"Reproductive health care",2.342886,"0.0215775154333021%","Denmark"
2021,"Reproductive health care",22.399454,"0.11573513346361%","Denmark"
2017,"Family planning",4.26954,"0.0333632905968914%","Denmark"
2018,"Family planning",5.089947,"0.0360024383170486%","Denmark"
2019,"Family planning",9.998654,"0.0875072523740216%","Denmark"
2020,"Family planning",17.814727,"0.164070102763244%","Denmark"
2021,"Family planning",23.536521,"0.121610214213438%","Denmark"
2017,"STD control including HIV/AIDS",1.709069,"0.0133551075050564%","Denmark"
2018,"STD control including HIV/AIDS",1.737488,"0.0122896769940064%","Denmark"
2019,"STD control including HIV/AIDS",1.676704,"0.0146743511761215%","Denmark"
2020,"STD control including HIV/AIDS",1.634378,"0.0150522972602378%","Denmark"
2021,"STD control including HIV/AIDS",0.795153,"0.00410845454442728%","Denmark"
2017,"Personnel development for population and reproductive health",0.128034,"0.0010004908135964%","Denmark"
2021,"Promotion of mental health and well-being",0.874668,"0.00451929844880811%","Denmark"
2019,"Other prevention and treatment of NCDs",1.739535,"0.0152242420088188%","Denmark"
2020,"Other prevention and treatment of NCDs",1.634379,"0.0150523064700395%","Denmark"
2021,"Other prevention and treatment of NCDs",1.590305,"0.00821690392198158%","Denmark"
2020,"COVID-19 control",3.432196,"0.0316098445080631%","Denmark"
2021,"COVID-19 control",109.637528,"0.566483180156992%","Denmark"
