"Year","Sector","Bilateral ODA for","Share","Donor"
"2017","Financial services & business support",17.821476,"3%","Finland"
"2018","Financial services & business support",22.337971,"4%","Finland"
"2019","Financial services & business support",18.093251,"3%","Finland"
"2020","Financial services & business support",101.263346,"14%","Finland"
"2021","Financial services & business support",100.209904,"14%","Finland"
"2017","Education",48.482026,"7%","Finland"
"2018","Education",48.893559,"9%","Finland"
"2019","Education",57.137156,"9%","Finland"
"2020","Education",71.369414,"10%","Finland"
"2021","Education",99.227299,"14%","Finland"
"2017","Humanitarian aid",75.858224,"11%","Finland"
"2018","Humanitarian aid",53.243418,"10%","Finland"
"2019","Humanitarian aid",60.557622,"9%","Finland"
"2020","Humanitarian aid",96.620589,"14%","Finland"
"2021","Humanitarian aid",83.639602,"12%","Finland"
"2017","Government & civil society",67.648,"10%","Finland"
"2018","Government & civil society",55.754075,"11%","Finland"
"2019","Government & civil society",64.524456,"10%","Finland"
"2020","Government & civil society",76.127381,"11%","Finland"
"2021","Government & civil society",72.891569,"10%","Finland"
"2017","Refugees in donor countries",87.511376,"13%","Finland"
"2018","Refugees in donor countries",60.284601,"12%","Finland"
"2019","Refugees in donor countries",98.489934,"15%","Finland"
"2020","Refugees in donor countries",63.275331,"9%","Finland"
"2021","Refugees in donor countries",68.77139,"10%","Finland"
"2017","Donor administration costs",51.563045,"7%","Finland"
"2018","Donor administration costs",51.451113,"10%","Finland"
"2019","Donor administration costs",56.86443,"9%","Finland"
"2020","Donor administration costs",52.818522,"8%","Finland"
"2021","Donor administration costs",54.272596,"8%","Finland"
"2017","Health & populations",21.385085,"3%","Finland"
"2018","Health & populations",22.461969,"4%","Finland"
"2019","Health & populations",22.755893,"3%","Finland"
"2020","Health & populations",40.531068,"6%","Finland"
"2021","Health & populations",45.582305,"6%","Finland"
"2017","Unspecified",38.198401,"6%","Finland"
"2018","Unspecified",33.988568,"6%","Finland"
"2019","Unspecified",33.231186,"5%","Finland"
"2020","Unspecified",33.965402,"5%","Finland"
"2021","Unspecified",35.887413,"5%","Finland"
"2017","Conflict, peace & security",30.209976,"4%","Finland"
"2018","Conflict, peace & security",27.053619,"5%","Finland"
"2019","Conflict, peace & security",29.79435,"4%","Finland"
"2020","Conflict, peace & security",32.937434,"5%","Finland"
"2021","Conflict, peace & security",30.396387,"4%","Finland"
"2017","Agriculture (incl. forestry, fishing, rural development)",56.741652,"8%","Finland"
"2018","Agriculture (incl. forestry, fishing, rural development)",29.637674,"6%","Finland"
"2019","Agriculture (incl. forestry, fishing, rural development)",55.874288,"8%","Finland"
"2020","Agriculture (incl. forestry, fishing, rural development)",37.35612,"5%","Finland"
"2021","Agriculture (incl. forestry, fishing, rural development)",23.229878,"3%","Finland"
"2017","Other social services",24.099794,"4%","Finland"
"2018","Other social services",21.655947,"4%","Finland"
"2019","Other social services",16.607926,"2%","Finland"
"2020","Other social services",22.147911,"3%","Finland"
"2021","Other social services",22.720692,"3%","Finland"
"2017","Energy",98.808243,"14%","Finland"
"2018","Energy",21.216067,"4%","Finland"
"2019","Energy",55.824465,"8%","Finland"
"2020","Energy",12.212717,"2%","Finland"
"2021","Energy",19.569043,"3%","Finland"
"2017","Water and sanitation",27.355665,"4%","Finland"
"2018","Water and sanitation",16.815611,"3%","Finland"
"2019","Water and sanitation",19.288106,"3%","Finland"
"2020","Water and sanitation",16.704191,"2%","Finland"
"2021","Water and sanitation",10.835288,"2%","Finland"
"2017","Other multisector",17.60217,"3%","Finland"
"2018","Other multisector",14.128443,"3%","Finland"
"2019","Other multisector",31.453829,"5%","Finland"
"2020","Other multisector",19.677899,"3%","Finland"
"2021","Other multisector",10.801157,"2%","Finland"
"2017","Environmental protection",3.098861,"0%","Finland"
"2018","Environmental protection",4.578501,"1%","Finland"
"2019","Environmental protection",3.927659,"1%","Finland"
"2020","Environmental protection",4.777399,"1%","Finland"
"2021","Environmental protection",10.52443,"1%","Finland"
"2017","Industry, construction & mining",5.03997,"1%","Finland"
