"Year","Income Group","ODA","Share","Donor"
"2017","Part I Unallocated by income",363.4,"53%","Finland"
"2018","Part I Unallocated by income",245.5,"47%","Finland"
"2019","Part I Unallocated by income",366.6,"55%","Finland"
"2020","Part I Unallocated by income",378.7,"54%","Finland"
"2021","Part I Unallocated by income",401.9,"57%","Finland"
"2017","Low income countries",125.1,"18%","Finland"
"2018","Low income countries",111.6,"21%","Finland"
"2019","Low income countries",152.7,"23%","Finland"
"2020","Low income countries",168.8,"24%","Finland"
"2021","Low income countries",166.1,"24%","Finland"
"2017","Lower-middle income countries",147.2,"21%","Finland"
"2018","Lower-middle income countries",131.1,"25%","Finland"
"2019","Lower-middle income countries",108,"16%","Finland"
"2020","Lower-middle income countries",127.8,"18%","Finland"
"2021","Lower-middle income countries",114.8,"16%","Finland"
"2017","Upper-middle income countries",51.4,"7%","Finland"
"2018","Upper-middle income countries",34.7,"7%","Finland"
"2019","Upper-middle income countries",36.8,"6%","Finland"
"2020","Upper-middle income countries",24.1,"3%","Finland"
"2021","Upper-middle income countries",21.3,"3%","Finland"
"2017","Countries not classified",0,"0%","Finland"
"2018","Countries not classified",0,"0%","Finland"
"2019","Countries not classified",0,"0%","Finland"
"2020","Countries not classified",0.6,"0%","Finland"
"2021","Countries not classified",0,"0%","Finland"
"2017","High income countries",0,"0%","Finland"
"2018","High income countries",0,"0%","Finland"
"2019","High income countries",0,"0%","Finland"
"2020","High income countries",0,"0%","Finland"
"2021","High income countries",0,"0%","Finland"
