"Year","Region","Bilateral ODA","Share","Donor"
"2017","Developing countries, unspecified",297.852414,"43%","Finland"
"2018","Developing countries, unspecified",188.680415,"36%","Finland"
"2019","Developing countries, unspecified",296.149448,"45%","Finland"
"2020","Developing countries, unspecified",229.095566,"33%","Finland"
"2021","Developing countries, unspecified",285.725022,"41%","Finland"
"2017","sub-Saharan Africa",159.256445,"23%","Finland"
"2018","sub-Saharan Africa",129.98379,"25%","Finland"
"2019","sub-Saharan Africa",153.281221,"23%","Finland"
"2020","sub-Saharan Africa",161.675892,"23%","Finland"
"2021","sub-Saharan Africa",164.644602,"23%","Finland"
"2017","MENA region",47.494255,"7%","Finland"
"2018","MENA region",48.509853,"9%","Finland"
"2019","MENA region",48.993438,"7%","Finland"
"2020","MENA region",58.163353,"8%","Finland"
"2021","MENA region",95.104359,"14%","Finland"
"2017","Asia",101.718653,"15%","Finland"
"2018","Asia",100.163483,"19%","Finland"
"2019","Asia",85.602843,"13%","Finland"
"2020","Asia",99.591763,"14%","Finland"
"2021","Asia",95.06809,"14%","Finland"
"2017","Africa, regional",23.379967,"3%","Finland"
"2018","Africa, regional",24.98039,"5%","Finland"
"2019","Africa, regional",35.55056,"5%","Finland"
"2020","Africa, regional",94.086948,"13%","Finland"
"2021","Africa, regional",35.944773,"5%","Finland"
"2017","Europe",30.068182,"4%","Finland"
"2018","Europe",18.873472,"4%","Finland"
"2019","Europe",32.219664,"5%","Finland"
"2020","Europe",19.333137,"3%","Finland"
"2021","Europe",18.352269,"3%","Finland"
"2017","Latin America and the Caribbeans",18.289434,"3%","Finland"
"2018","Latin America and the Caribbeans",5.114091,"1%","Finland"
"2019","Latin America and the Caribbeans",6.365543,"1%","Finland"
"2020","Latin America and the Caribbeans",6.502872,"1%","Finland"
"2021","Latin America and the Caribbeans",5.282502,"1%","Finland"
"2017","Asia, regional",9.584187,"1%","Finland"
"2018","Asia, regional",7.001823,"1%","Finland"
"2019","Asia, regional",6.336047,"1%","Finland"
"2020","Asia, regional",30.640375,"4%","Finland"
"2021","Asia, regional",3.953349,"1%","Finland"
"2017","Oceania",0,"0%","Finland"
"2018","Oceania",0,"0%","Finland"
"2019","Oceania",0.019904,"0%","Finland"
"2020","Oceania",0,"0%","Finland"
"2021","Oceania",0.013184,"0%","Finland"
