"Sector","climate-related ODA to","Share","Donor"
"Financial services and business support",58.8,"23%","Finland"
"Government & civil society",46.7,"19%","Finland"
"Education",32.9,"13%","Finland"
"Health",27.2,"11%","Finland"
"Other multisector",21.2,"8%","Finland"
"Environmental protection",19.3,"8%","Finland"
"Agriculture (incl. forestry, fishing, rural development)",17.2,"7%","Finland"
"Energy",16.5,"7%","Finland"
"Other social services",3.6,"1%","Finland"
"Industry, construction & mining",3.5,"1%","Finland"
"Water and sanitation",1.6,"1%","Finland"
"Trade policy",1.3,"1%","Finland"
"Conflict, peace and security",1.2,"0%","Finland"
"Infrastructure",0.5,"0%","Finland"
"Unspecified",0.2,"0%","Finland"
"Humanitarian aid",0,"0%","Finland"
"Donor administration costs",0,"0%","Finland"
"Food aid and commodity assistance",0,"0%","Finland"
"General budget support",0,"0%","Finland"
"Tourism",0,"0%","Finland"
