"Year","Sector","Gender-related ODA to","Share","Donor"
"2017","Education",46.415266,"0.144230197322155%","Finland"
"2018","Education",47.65843,"0.217956835048533%","Finland"
"2019","Education",49.666021,"0.207237556419802%","Finland"
"2020","Education",59.432425,"0.207853745453153%","Finland"
"2021","Education",90.009044,"0.248302764577888%","Finland"
"2017","Humanitarian aid",21.204846,"0.0658916642374927%","Finland"
"2018","Humanitarian aid",12.832728,"0.0586880595923679%","Finland"
"2019","Humanitarian aid",7.659092,"0.0319584995640068%","Finland"
"2020","Humanitarian aid",10.71552,"0.0374755189019827%","Finland"
"2021","Humanitarian aid",68.538896,"0.189074304110111%","Finland"
"2017","Financial services & business support",2.104106,"0.00653827177391875%","Finland"
"2018","Financial services & business support",6.613426,"0.0302452556617514%","Finland"
"2019","Financial services & business support",10.594138,"0.0442053385249881%","Finland"
"2020","Financial services & business support",39.85154,"0.139373277315811%","Finland"
"2021","Financial services & business support",56.732567,"0.156504864418961%","Finland"
"2017","Government & civil society",49.836043,"0.15485987553417%","Finland"
"2018","Government & civil society",42.119112,"0.192623809608808%","Finland"
"2019","Government & civil society",50.225237,"0.209570953680494%","Finland"
"2020","Government & civil society",57.933318,"0.202610900242226%","Finland"
"2021","Government & civil society",52.55761,"0.144987651047671%","Finland"
"2017","Health & populations",19.438531,"0.0604030398486315%","Finland"
"2018","Health & populations",20.893807,"0.0955538830346465%","Finland"
"2019","Health & populations",21.290548,"0.0888374194976985%","Finland"
"2020","Health & populations",34.607696,"0.12103391768221%","Finland"
"2021","Health & populations",24.761926,"0.0683092988086074%","Finland"
"2017","Other social services",21.649462,"0.0672732582460801%","Finland"
"2018","Other social services",17.886024,"0.0817983551418313%","Finland"
"2019","Other social services",12.585243,"0.0525134680362137%","Finland"
"2020","Other social services",16.188235,"0.0566153118777473%","Finland"
"2021","Other social services",14.773919,"0.0407559592717127%","Finland"
"2017","Conflict, peace & security",10.307961,"0.0320308247079545%","Finland"
"2018","Conflict, peace & security",10.810886,"0.0494415467868013%","Finland"
"2019","Conflict, peace & security",12.047691,"0.0502704664692354%","Finland"
"2020","Conflict, peace & security",13.343568,"0.0466666232533645%","Finland"
"2021","Conflict, peace & security",12.602936,"0.0347669935323188%","Finland"
"2017","Agriculture (incl. forestry, fishing, rural development)",26.132827,"0.0812048086678151%","Finland"
"2018","Agriculture (incl. forestry, fishing, rural development)",21.048243,"0.0962601669340019%","Finland"
"2019","Agriculture (incl. forestry, fishing, rural development)",24.524667,"0.102332177185874%","Finland"
"2020","Agriculture (incl. forestry, fishing, rural development)",15.245916,"0.0533197281360159%","Finland"
"2021","Agriculture (incl. forestry, fishing, rural development)",12.203301,"0.0336645434793876%","Finland"
"2017","Water and sanitation",21.22336,"0.0659491944016681%","Finland"
"2018","Water and sanitation",12.904169,"0.0590147815228365%","Finland"
"2019","Water and sanitation",17.24612,"0.071961548248906%","Finland"
"2020","Water and sanitation",14.30197,"0.0500184542673235%","Finland"
"2021","Water and sanitation",8.669291,"0.0239154736742922%","Finland"
"2017","Industry, construction & mining",2.077788,"0.00645649156106541%","Finland"
"2018","Industry, construction & mining",4.174259,"0.0190901857302655%","Finland"
"2019","Industry, construction & mining",18.884132,"0.0787963539658027%","Finland"
"2020","Industry, construction & mining",4.577996,"0.0160106812950936%","Finland"
"2021","Industry, construction & mining",5.914845,"0.0163169421680526%","Finland"
"2017","Other multisector",7.858761,"0.0244202123012213%","Finland"
"2018","Other multisector",4.956727,"0.0226686554533922%","Finland"
"2019","Other multisector",7.311052,"0.030506260031141%","Finland"
"2020","Other multisector",9.590986,"0.0335426724164251%","Finland"
"2021","Other multisector",4.465372,"0.0123183645020015%","Finland"
"2017","Trade policy",3.471979,"0.0107887826446665%","Finland"
"2018","Trade policy",4.116821,"0.0188275038775163%","Finland"
"2019","Trade policy",3.263819,"0.0136186845762523%","Finland"
"2020","Trade policy",3.543567,"0.0123929601259614%","Finland"
"2021","Trade policy",2.897351,"0.00799275529748444%","Finland"
"2017","Unspecified",1.995932,"0.0062021332852343%","Finland"
"2018","Unspecified",3.574416,"0.0163469169778954%","Finland"
"2019","Unspecified",2.65854,"0.0110930838056123%","Finland"
"2020","Unspecified",2.526416,"0.00883566551714444%","Finland"
