"donorname","sum_value","Rank"
"Japan",9877.20236,1
"Germany",7480.530528,2
"France",6754.309304,3
"EU Institutions",5406.439258,4
"Korea",1368.286655,5
"Netherlands",1058.295052,6
"United States",958.102729,7
"Australia",944.597562,8
"Norway",713.05646,9
"Switzerland",695.331334,10
"Sweden",630.914444,11
"Canada",554.962788,12
"United Kingdom",434.351289,13
"Denmark",394.17506,14
"Italy",339.789127,15
"Belgium",251.999228,16
"Finland",251.827949,17
"Austria",137.687821,18
"New Zealand",113.765253,19
"Spain",96.872525,20
"Ireland",95.946067,21
"Luxembourg",23.242948,22
"Iceland",16.809758,23
"Hungary",12.344208,24
"Czech Republic",7.853037,25
"Poland",3.269867,26
"Slovenia",1.652098,27
"Slovak Republic",1.141902,28
