"Year","Region","Bilateral ODA","Share","Donor"
"2017","sub-Saharan Africa",281.605109,"52%","Ireland"
"2018","sub-Saharan Africa",271.659954,"50%","Ireland"
"2019","sub-Saharan Africa",276.11748,"46%","Ireland"
"2020","sub-Saharan Africa",276.080274,"51%","Ireland"
"2021","sub-Saharan Africa",281.774769,"45%","Ireland"
"2017","Developing countries, unspecified",172.90793,"32%","Ireland"
"2018","Developing countries, unspecified",193.168869,"35%","Ireland"
"2019","Developing countries, unspecified",235.51445,"39%","Ireland"
"2020","Developing countries, unspecified",181.285681,"33%","Ireland"
"2021","Developing countries, unspecified",241.127572,"39%","Ireland"
"2017","MENA region",27.838814,"5%","Ireland"
"2018","MENA region",34.770189,"6%","Ireland"
"2019","MENA region",37.902638,"6%","Ireland"
"2020","MENA region",37.464362,"7%","Ireland"
"2021","MENA region",46.696115,"8%","Ireland"
"2017","Asia",24.355421,"5%","Ireland"
"2018","Asia",24.529865,"4%","Ireland"
"2019","Asia",22.932837,"4%","Ireland"
"2020","Asia",23.262663,"4%","Ireland"
"2021","Asia",24.705931,"4%","Ireland"
"2017","Latin America and the Caribbeans",10.731085,"2%","Ireland"
"2018","Latin America and the Caribbeans",10.267967,"2%","Ireland"
"2019","Latin America and the Caribbeans",13.384253,"2%","Ireland"
"2020","Latin America and the Caribbeans",13.61318,"3%","Ireland"
"2021","Latin America and the Caribbeans",16.093361,"3%","Ireland"
"2017","Oceania",0,"0%","Ireland"
"2018","Oceania",1.340617,"0%","Ireland"
"2019","Oceania",5.445554,"1%","Ireland"
"2020","Oceania",2.435474,"0%","Ireland"
"2021","Oceania",5.126378,"1%","Ireland"
"2017","Europe",16.464821,"3%","Ireland"
"2018","Europe",8.210843,"1%","Ireland"
"2019","Europe",6.949089,"1%","Ireland"
"2020","Europe",6.741659,"1%","Ireland"
"2021","Europe",4.511798,"1%","Ireland"
"2017","Africa, regional",2.955783,"1%","Ireland"
"2018","Africa, regional",3.601145,"1%","Ireland"
"2019","Africa, regional",1.55858,"0%","Ireland"
"2020","Africa, regional",3.140429,"1%","Ireland"
"2021","Africa, regional",1.638026,"0%","Ireland"
"2017","Asia, regional",0.000711,"0%","Ireland"
"2018","Asia, regional",0.082674,"0%","Ireland"
"2019","Asia, regional",0.021145,"0%","Ireland"
"2020","Asia, regional",0,"0%","Ireland"
"2021","Asia, regional",0.473037,"0%","Ireland"
