"Year","Sector","climate-related ODA to","Share","Donor"
"2017","Humanitarian aid",6.9352544604928,"7%","Ireland"
"2018","Humanitarian aid",3.3857333852672,"5%","Ireland"
"2019","Humanitarian aid",6.3217835076096,"6%","Ireland"
"2020","Humanitarian aid",6.5488204412416,"7%","Ireland"
"2021","Humanitarian aid",27.5614712027136,"28%","Ireland"
"2017","Agriculture (incl. forestry, fishing, rural development)",37.1753005594112,"37%","Ireland"
"2018","Agriculture (incl. forestry, fishing, rural development)",22.729600816,"30%","Ireland"
"2019","Agriculture (incl. forestry, fishing, rural development)",30.719031335424,"28%","Ireland"
"2020","Agriculture (incl. forestry, fishing, rural development)",27.0721972273408,"31%","Ireland"
"2021","Agriculture (incl. forestry, fishing, rural development)",23.8542255548416,"24%","Ireland"
"2017","Other multisector",5.4154454279936,"5%","Ireland"
"2018","Other multisector",1.1159909835264,"1%","Ireland"
"2019","Other multisector",19.6951229958656,"18%","Ireland"
"2020","Other multisector",8.7109940678144,"10%","Ireland"
"2021","Other multisector",13.6338091519232,"14%","Ireland"
"2017","Environmental protection",5.9452381439744,"6%","Ireland"
"2018","Environmental protection",6.8384889642496,"9%","Ireland"
"2019","Environmental protection",8.5359813616896,"8%","Ireland"
"2020","Environmental protection",10.428907209344,"12%","Ireland"
"2021","Environmental protection",13.2138599112448,"13%","Ireland"
"2017","Other social services",15.6210401900544,"15%","Ireland"
"2018","Other social services",15.0330889804288,"20%","Ireland"
"2019","Other social services",6.6110787570688,"6%","Ireland"
"2020","Other social services",17.0833970614528,"19%","Ireland"
"2021","Other social services",6.1646064715776,"6%","Ireland"
"2017","Health",13.2275648248832,"13%","Ireland"
"2018","Health",18.7241003223552,"25%","Ireland"
"2019","Health",15.412779328384,"14%","Ireland"
"2020","Health",5.1463574761472,"6%","Ireland"
"2021","Health",4.8398143077632,"5%","Ireland"
"2017","Government & civil society",6.3212514381312,"6%","Ireland"
"2018","Government & civil society",4.0162913988608,"5%","Ireland"
"2019","Government & civil society",5.2769980625152,"5%","Ireland"
"2020","Government & civil society",3.5493839332864,"4%","Ireland"
"2021","Government & civil society",4.6193003809536,"5%","Ireland"
"2017","Education",3.7881758902784,"4%","Ireland"
"2018","Education",2.4416761166592,"3%","Ireland"
"2019","Education",3.2737853483264,"3%","Ireland"
"2020","Education",3.49255664448,"4%","Ireland"
"2021","Education",2.1736059023616,"2%","Ireland"
"2017","Unspecified",1.589469919616,"2%","Ireland"
"2018","Unspecified",0,"0%","Ireland"
"2019","Unspecified",2.9834001813504,"3%","Ireland"
"2020","Unspecified",1.8890178179584,"2%","Ireland"
"2021","Unspecified",1.3200509710592,"1%","Ireland"
"2017","Water and sanitation",3.5717401316608,"4%","Ireland"
"2018","Water and sanitation",0.4815971202048,"1%","Ireland"
"2019","Water and sanitation",2.19486393408,"2%","Ireland"
"2020","Water and sanitation",1.6712230136576,"2%","Ireland"
"2021","Water and sanitation",1.107220086272,"1%","Ireland"
"2017","Conflict, peace and security",0,"0%","Ireland"
"2018","Conflict, peace and security",0,"0%","Ireland"
"2019","Conflict, peace and security",0,"0%","Ireland"
"2020","Conflict, peace and security",0.7081308563456,"1%","Ireland"
"2021","Conflict, peace and security",0.2685466020864,"0%","Ireland"
"2017","Energy",0.0334729445888,"0%","Ireland"
"2018","Energy",0.0241503861504,"0%","Ireland"
"2019","Energy",5.9771808732416,"5%","Ireland"
"2020","Energy",1.7943641013504,"2%","Ireland"
"2021","Energy",0.0792938194176,"0%","Ireland"
"2017","Industry, construction & mining",0.012172636032,"0%","Ireland"
"2018","Industry, construction & mining",0,"0%","Ireland"
"2019","Industry, construction & mining",0.3757524151296,"0%","Ireland"
"2020","Industry, construction & mining",0.041147737472,"0%","Ireland"
"2021","Industry, construction & mining",0.0707621472,"0%","Ireland"
"2017","Financial services and business support",0.8611781670656,"1%","Ireland"
"2018","Financial services and business support",0,"0%","Ireland"
"2019","Financial services and business support",0.29470049792,"0%","Ireland"
"2020","Financial services and business support",0,"0%","Ireland"
"2021","Financial services and business support",0.0274912875264,"0%","Ireland"
"2017","Donor administration costs",0,"0%","Ireland"
"2018","Donor administration costs",0,"0%","Ireland"
"2019","Donor administration costs",0.1626029073408,"0%","Ireland"
"2020","Donor administration costs",0,"0%","Ireland"
"2021","Donor administration costs",0,"0%","Ireland"
"2017","Food aid and commodity assistance",0.7911893766656,"1%","Ireland"
"2018","Food aid and commodity assistance",0,"0%","Ireland"
"2019","Food aid and commodity assistance",0.5801186519552,"1%","Ireland"
"2020","Food aid and commodity assistance",0,"0%","Ireland"
"2021","Food aid and commodity assistance",0,"0%","Ireland"
"2017","Infrastructure",0,"0%","Ireland"
"2018","Infrastructure",0,"0%","Ireland"
"2019","Infrastructure",0,"0%","Ireland"
"2020","Infrastructure",0,"0%","Ireland"
"2021","Infrastructure",0,"0%","Ireland"
"2017","Trade policy",0,"0%","Ireland"
"2018","Trade policy",0,"0%","Ireland"
"2019","Trade policy",1.1602383350528,"1%","Ireland"
"2020","Trade policy",0,"0%","Ireland"
"2021","Trade policy",0,"0%","Ireland"
