"Year","Region","Bilateral ODA","Share","Donor"
"2017","sub-Saharan Africa",146.974356,"40%","Luxembourg"
"2018","sub-Saharan Africa",165.462255,"42%","Luxembourg"
"2019","sub-Saharan Africa",182.322377,"42%","Luxembourg"
"2020","sub-Saharan Africa",151.222163,"44%","Luxembourg"
"2021","sub-Saharan Africa",171.998212,"47%","Luxembourg"
"2017","Developing countries, unspecified",88.807531,"24%","Luxembourg"
"2018","Developing countries, unspecified",87.799484,"22%","Luxembourg"
"2019","Developing countries, unspecified",121.139439,"28%","Luxembourg"
"2020","Developing countries, unspecified",88.473514,"26%","Luxembourg"
"2021","Developing countries, unspecified",88.006984,"24%","Luxembourg"
"2017","Asia",58.794867,"16%","Luxembourg"
"2018","Asia",63.930333,"16%","Luxembourg"
"2019","Asia",60.075253,"14%","Luxembourg"
"2020","Asia",54.108845,"16%","Luxembourg"
"2021","Asia",48.576378,"13%","Luxembourg"
"2017","MENA region",26.648955,"7%","Luxembourg"
"2018","MENA region",23.045634,"6%","Luxembourg"
"2019","MENA region",22.715482,"5%","Luxembourg"
"2020","MENA region",17.583411,"5%","Luxembourg"
"2021","MENA region",20.553819,"6%","Luxembourg"
"2017","Latin America and the Caribbeans",27.95323,"8%","Luxembourg"
"2018","Latin America and the Caribbeans",33.056814,"8%","Luxembourg"
"2019","Latin America and the Caribbeans",19.932773,"5%","Luxembourg"
"2020","Latin America and the Caribbeans",14.777419,"4%","Luxembourg"
"2021","Latin America and the Caribbeans",11.9081,"3%","Luxembourg"
"2017","Europe",12.91068,"3%","Luxembourg"
"2018","Europe",13.618122,"3%","Luxembourg"
"2019","Europe",13.296083,"3%","Luxembourg"
"2020","Europe",5.746082,"2%","Luxembourg"
"2021","Europe",11.344628,"3%","Luxembourg"
"2017","Africa, regional",6.77631,"2%","Luxembourg"
"2018","Africa, regional",9.622349,"2%","Luxembourg"
"2019","Africa, regional",10.612633,"2%","Luxembourg"
"2020","Africa, regional",12.227123,"4%","Luxembourg"
"2021","Africa, regional",10.855495,"3%","Luxembourg"
"2017","Asia, regional",0.763671,"0%","Luxembourg"
"2018","Asia, regional",0.001756,"0%","Luxembourg"
"2019","Asia, regional",0.244653,"0%","Luxembourg"
"2020","Asia, regional",2.532382,"1%","Luxembourg"
"2021","Asia, regional",1.976393,"1%","Luxembourg"
"2017","Oceania",0,"0%","Luxembourg"
"2018","Oceania",0.000451,"0%","Luxembourg"
"2019","Oceania",0,"0%","Luxembourg"
"2020","Oceania",0,"0%","Luxembourg"
"2021","Oceania",0,"0%","Luxembourg"
