"year","Multi_short","ODA","Share","Full Name","Donor"
2017,"WHO - assessed contributions","7.7","3.4%","World Health Organisation - assessed contributions","Luxembourg"
2017,"UNFPA","5.4","2.4%","United Nations Population Fund","Luxembourg"
2017,"UNAIDS","4.7","2.1%","Joint United Nations Programme on HIV/AIDS","Luxembourg"
2017,"Global Fund","3.6","1.6%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Luxembourg"
2017,"IDA","1.6","0.7%","International Development Association","Luxembourg"
2017,"IDA","1.6","0.7%","International Development Association","Luxembourg"
2017,"EU Com budget","1.6","0.7%","European Commission - Development Share of Budget","Luxembourg"
2017,"UNICEF","1.1","0.5%","United Nations Children's Fund","Luxembourg"
2017,"Gavi","1.1","0.5%","Global Alliance for Vaccines and Immunization","Luxembourg"
2017,"UNDP","0.1","0.1%","United Nations Development Programme","Luxembourg"
2017,"African Development Fund","0.1","0%","African Development Fund","Luxembourg"
2017,"WFP","0.1","0%","World Food Programme","Luxembourg"
2017,"ADF","0.1","0%","Asian Development Fund","Luxembourg"
2017,"FAO","0.1","0%","Food and Agricultural Organisation","Luxembourg"
2017,"ADB","0","0%","Asian Development Bank","Luxembourg"
2017,"EIB","0","0%","European Investment Bank","Luxembourg"
2017,"GEF - LDC Fund","0","0%","Global Environment Facility - Least Developed Countries Fund","Luxembourg"
2017,"Peacebuilding Fund","0","0%","United Nations Peacebuilding Fund","Luxembourg"
2018,"WHO - assessed contributions","10.8","5.1%","World Health Organisation - assessed contributions","Luxembourg"
2018,"UNAIDS","4.7","2.2%","Joint United Nations Programme on HIV/AIDS","Luxembourg"
2018,"UNFPA","3.7","1.8%","United Nations Population Fund","Luxembourg"
2018,"Global Fund","3.5","1.6%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Luxembourg"
2018,"IDA","1.9","0.9%","International Development Association","Luxembourg"
2018,"IDA","1.9","0.9%","International Development Association","Luxembourg"
2018,"EU Com budget","1.4","0.7%","European Commission - Development Share of Budget","Luxembourg"
2018,"UNICEF","1.1","0.5%","United Nations Children's Fund","Luxembourg"
2018,"Gavi","1.1","0.5%","Global Alliance for Vaccines and Immunization","Luxembourg"
2018,"UNDP","0.1","0.1%","United Nations Development Programme","Luxembourg"
2018,"ADF","0.1","0%","Asian Development Fund","Luxembourg"
2018,"African Development Fund","0.1","0%","African Development Fund","Luxembourg"
2018,"WFP","0","0%","World Food Programme","Luxembourg"
2018,"ADB","0","0%","Asian Development Bank","Luxembourg"
2018,"FAO","0","0%","Food and Agricultural Organisation","Luxembourg"
2018,"EIB","0","0%","European Investment Bank","Luxembourg"
2018,"GEF - LDC Fund","0","0%","Global Environment Facility - Least Developed Countries Fund","Luxembourg"
2019,"Global Fund","3.5","1.6%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Luxembourg"
2019,"IDA","2.3","1%","International Development Association","Luxembourg"
2019,"IDA","2.3","1%","International Development Association","Luxembourg"
2019,"UNAIDS","2.1","0.9%","Joint United Nations Programme on HIV/AIDS","Luxembourg"
2019,"UNFPA","1.4","0.6%","United Nations Population Fund","Luxembourg"
2019,"EU Com budget","1.3","0.6%","European Commission - Development Share of Budget","Luxembourg"
2019,"Gavi","1","0.5%","Global Alliance for Vaccines and Immunization","Luxembourg"
2019,"UNRWA","0.8","0.4%","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Luxembourg"
2019,"UNICEF","0.6","0.3%","United Nations Children's Fund","Luxembourg"
2019,"WHO - assessed contributions","0.2","0.1%","World Health Organisation - assessed contributions","Luxembourg"
2019,"ADF","0.1","0%","Asian Development Fund","Luxembourg"
2019,"UNDP","0.1","0%","United Nations Development Programme","Luxembourg"
2019,"African Development Fund","0","0%","African Development Fund","Luxembourg"
2019,"ADB","0","0%","Asian Development Bank","Luxembourg"
2019,"WFP","0","0%","World Food Programme","Luxembourg"
2019,"EIB","0","0%","European Investment Bank","Luxembourg"
2019,"FAO","0","0%","Food and Agricultural Organisation","Luxembourg"
2019,"Peacebuilding Fund","0","0%","United Nations Peacebuilding Fund","Luxembourg"
2019,"GEF","0","0%","Global Environment Facility Trust Fund","Luxembourg"
2019,"CEB","0","0%","Council of Europe Development Bank","Luxembourg"
2020,"WHO - assessed contributions","8.3","2.3%","World Health Organisation - assessed contributions","Luxembourg"
2020,"Global Fund","3.3","0.9%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Luxembourg"
2020,"UNAIDS","2.4","0.7%","Joint United Nations Programme on HIV/AIDS","Luxembourg"
2020,"UNFPA","2.2","0.6%","United Nations Population Fund","Luxembourg"
2020,"IDA","2","0.6%","International Development Association","Luxembourg"
2020,"IDA","2","0.6%","International Development Association","Luxembourg"
2020,"EU Com budget","1.4","0.4%","European Commission - Development Share of Budget","Luxembourg"
2020,"UNICEF","1.2","0.3%","United Nations Children's Fund","Luxembourg"
2020,"Gavi","1","0.3%","Global Alliance for Vaccines and Immunization","Luxembourg"
2020,"UNRWA","0.7","0.2%","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Luxembourg"
2020,"ADF","0.3","0.1%","Asian Development Fund","Luxembourg"
2020,"UNDP","0.2","0.1%","United Nations Development Programme","Luxembourg"
2020,"African Development Fund","0.1","0%","African Development Fund","Luxembourg"
2020,"EIB","0","0%","European Investment Bank","Luxembourg"
2020,"WFP","0","0%","World Food Programme","Luxembourg"
2020,"FAO","0","0%","Food and Agricultural Organisation","Luxembourg"
2020,"GEF","0","0%","Global Environment Facility Trust Fund","Luxembourg"
2020,"Peacebuilding Fund","0","0%","United Nations Peacebuilding Fund","Luxembourg"
