"Year","Region","Bilateral ODA","Share","Donor"
"2017","Developing countries, unspecified",954.149616,"0.369150737900704%","Switzerland"
"2018","Developing countries, unspecified",947.571169,"0.372950090623096%","Switzerland"
"2019","Developing countries, unspecified",986.571143,"0.374262416729672%","Switzerland"
"2020","Developing countries, unspecified",1325.817281,"0.442686862311885%","Switzerland"
"2021","Developing countries, unspecified",1268.748543,"0.423219491829307%","Switzerland"
"2017","sub-Saharan Africa",540.113219,"0.208964286103925%","Switzerland"
"2018","sub-Saharan Africa",530.036216,"0.208614467448748%","Switzerland"
"2019","sub-Saharan Africa",550.739168,"0.208926617675629%","Switzerland"
"2020","sub-Saharan Africa",578.472791,"0.193150525679857%","Switzerland"
"2021","sub-Saharan Africa",584.681957,"0.195033761487681%","Switzerland"
"2017","Asia",443.13802,"0.171445572404713%","Switzerland"
"2018","Asia",435.195902,"0.171286713230191%","Switzerland"
"2019","Asia",400.542426,"0.151948470641134%","Switzerland"
"2020","Asia",395.926136,"0.132198683306428%","Switzerland"
"2021","Asia",445.116805,"0.148478679290814%","Switzerland"
"2017","Latin America and the Caribbeans",216.887486,"0.083911552397804%","Switzerland"
"2018","Latin America and the Caribbeans",210.185605,"0.0827259661299596%","Switzerland"
"2019","Latin America and the Caribbeans",241.570221,"0.0916412925341169%","Switzerland"
"2020","Latin America and the Caribbeans",237.49731,"0.0792997198619355%","Switzerland"
"2021","Latin America and the Caribbeans",230.12207,"0.076762370338429%","Switzerland"
"2017","MENA region",207.579619,"0.0803104337538159%","Switzerland"
"2018","MENA region",193.309053,"0.0760836032091378%","Switzerland"
"2019","MENA region",216.825211,"0.0822541061053325%","Switzerland"
"2020","MENA region",228.260297,"0.0762155057996328%","Switzerland"
"2021","MENA region",228.994991,"0.0763864078955452%","Switzerland"
"2017","Europe",190.267097,"0.073612395873746%","Switzerland"
"2018","Europe",189.14754,"0.0744456928323192%","Switzerland"
"2019","Europe",206.294268,"0.0782591218555018%","Switzerland"
"2020","Europe",194.459696,"0.0649295750643961%","Switzerland"
"2021","Europe",207.887579,"0.0693455578943706%","Switzerland"
"2017","Africa, regional",24.28985,"0.00939749479603355%","Switzerland"
"2018","Africa, regional",28.370939,"0.0111663847711605%","Switzerland"
"2019","Africa, regional",22.132102,"0.00839596215701154%","Switzerland"
"2020","Africa, regional",25.861399,"0.00863505231254088%","Switzerland"
"2021","Africa, regional",26.360361,"0.00879308878690636%","Switzerland"
"2017","Asia, regional",7.466664,"0.0028887760148264%","Switzerland"
"2018","Asia, regional",6.486678,"0.00255306116003498%","Switzerland"
"2019","Asia, regional",10.859345,"0.00411956576333926%","Switzerland"
"2020","Asia, regional",7.940477,"0.0026513041418033%","Switzerland"
"2021","Asia, regional",5.482702,"0.00182887804450588%","Switzerland"
"2017","Oceania",0.82388,"0.000318750754432659%","Switzerland"
"2018","Oceania",0.442142,"0.000174020595352534%","Switzerland"
"2019","Oceania",0.507297,"0.00019244653826218%","Switzerland"
"2020","Oceania",0.697135,"0.000232771521521445%","Switzerland"
"2021","Oceania",0.454967,"0.000151764432441287%","Switzerland"
