"","Year","Region","Bilateral ODA","Share","Donor"
"1","2017","sub-Saharan Africa",281.605109,"0.524541370190528%","Ireland"
"2","2018","sub-Saharan Africa",271.659954,"0.496062854223765%","Ireland"
"3","2019","sub-Saharan Africa",276.11748,"0.460329275542305%","Ireland"
"4","2020","sub-Saharan Africa",276.080274,"0.50747837426104%","Ireland"
"5","2021","sub-Saharan Africa",281.774769,"0.452907070013665%","Ireland"
"6","2017","Developing countries, unspecified",172.90793,"0.322072858837969%","Ireland"
"7","2018","Developing countries, unspecified",193.168869,"0.352734729916492%","Ireland"
"8","2019","Developing countries, unspecified",235.51445,"0.392637931319106%","Ireland"
"9","2020","Developing countries, unspecified",181.285681,"0.333231206046563%","Ireland"
"10","2021","Developing countries, unspecified",241.127572,"0.387573317943272%","Ireland"
"11","2017","MENA region",27.838814,"0.0518549173056347%","Ireland"
"12","2018","MENA region",34.770189,"0.0634918726270555%","Ireland"
"13","2019","MENA region",37.902638,"0.0631893855169265%","Ireland"
"14","2020","MENA region",37.464362,"0.0688653095167788%","Ireland"
"15","2021","MENA region",46.696115,"0.0750564030297233%","Ireland"
"16","2017","Asia",24.355421,"0.0453664564122207%","Ireland"
"17","2018","Asia",24.529865,"0.0447925970186376%","Ireland"
"18","2019","Asia",22.932837,"0.0382324807626803%","Ireland"
"19","2020","Asia",23.262663,"0.0427603835260698%","Ireland"
"20","2021","Asia",24.705931,"0.0397107621128767%","Ireland"
"21","2017","Latin America and the Caribbeans",10.731085,"0.0199886218311864%","Ireland"
"22","2018","Latin America and the Caribbeans",10.267967,"0.0187497529249211%","Ireland"
"23","2019","Latin America and the Caribbeans",13.384253,"0.022313558298319%","Ireland"
"24","2020","Latin America and the Caribbeans",13.61318,"0.0250231367668191%","Ireland"
"25","2021","Latin America and the Caribbeans",16.093361,"0.0258674579099103%","Ireland"
"26","2017","Oceania",0,"0%","Ireland"
"27","2018","Oceania",1.340617,"0.00244802476643614%","Ireland"
"28","2019","Oceania",5.445554,"0.00907855572108837%","Ireland"
"29","2020","Oceania",2.435474,"0.00447677904751367%","Ireland"
"30","2021","Oceania",5.126378,"0.00823981809301923%","Ireland"
"31","2017","Europe",16.464821,"0.0306687609395672%","Ireland"
"32","2018","Europe",8.210843,"0.0149933553112625%","Ireland"
"33","2019","Europe",6.949089,"0.0115851741984933%","Ireland"
"34","2020","Europe",6.741659,"0.0123922151321188%","Ireland"
"35","2021","Europe",4.511798,"0.00725198079276401%","Ireland"
"36","2017","Africa, regional",2.955783,"0.00550569011447114%","Ireland"
"37","2018","Africa, regional",3.601145,"0.00657584690297651%","Ireland"
"38","2019","Africa, regional",1.55858,"0.00259838675289491%","Ireland"
"39","2020","Africa, regional",3.140429,"0.00577259570309693%","Ireland"
"40","2021","Africa, regional",1.638026,"0.0026328601347064%","Ireland"
"41","2017","Asia, regional",0.000711,"0.00000132436842332099%","Ireland"
"42","2018","Asia, regional",0.082674,"0.00015096630845375%","Ireland"
"43","2019","Asia, regional",0.021145,"0.000035251888186659%","Ireland"
"44","2020","Asia, regional",0,"0%","Ireland"
"45","2021","Asia, regional",0.473037,"0.000760329970062203%","Ireland"
