"","Year","Recipient country","ODA Grants","ODA Loans","Share","Donor"
"1","2017","Ethiopia",44.270864,0,"0.0824626362232601%","Ireland"
"2","2018","Ethiopia",45.460912,0,"0.0830135963371893%","Ireland"
"3","2019","Ethiopia",46.95118,0,"0.0782746629270134%","Ireland"
"4","2020","Ethiopia",47.127914,0,"0.0866284172806714%","Ireland"
"5","2021","Ethiopia",47.968979,0,"0.0771023246954984%","Ireland"
"6","2017","Ethiopia",0,0,"0%","Ireland"
"7","2018","Ethiopia",0,0,"0%","Ireland"
"8","2019","Ethiopia",0,0,"0%","Ireland"
"9","2020","Ethiopia",0,0,"0%","Ireland"
"10","2021","Ethiopia",0,0,"0%","Ireland"
"11","2017","Mozambique",32.332901,0,"0.0602259818829305%","Ireland"
"12","2018","Mozambique",25.086391,0,"0.0458088376236468%","Ireland"
"13","2019","Mozambique",31.347365,0,"0.0522607616895903%","Ireland"
"14","2020","Mozambique",30.62651,0,"0.0562962767274328%","Ireland"
"15","2021","Mozambique",32.063066,0,"0.0515361589302369%","Ireland"
"16","2017","Mozambique",0,0,"0%","Ireland"
"17","2018","Mozambique",0,0,"0%","Ireland"
"18","2019","Mozambique",0,0,"0%","Ireland"
"19","2020","Mozambique",0,0,"0%","Ireland"
"20","2021","Mozambique",0,0,"0%","Ireland"
"21","2017","Tanzania",24.744535,0,"0.0460912528885528%","Ireland"
"22","2018","Tanzania",29.340641,0,"0.0535772825729582%","Ireland"
"23","2019","Tanzania",27.208176,0,"0.0453601124670106%","Ireland"
"24","2020","Tanzania",27.201092,0,"0.0499998270296015%","Ireland"
"25","2021","Tanzania",29.795949,0,"0.0478921374250744%","Ireland"
"26","2017","Tanzania",0,0,"0%","Ireland"
"27","2018","Tanzania",0,0,"0%","Ireland"
"28","2019","Tanzania",0,0,"0%","Ireland"
"29","2020","Tanzania",0,0,"0%","Ireland"
"30","2021","Tanzania",0,0,"0%","Ireland"
"31","2017","Uganda",30.571676,0,"0.0569453760090016%","Ireland"
"32","2018","Uganda",32.064712,0,"0.0585515543250921%","Ireland"
"33","2019","Uganda",25.078324,0,"0.0418093295605016%","Ireland"
"34","2020","Uganda",27.036157,0,"0.0496966509118512%","Ireland"
"35","2021","Uganda",28.776416,0,"0.0462534041011116%","Ireland"
"36","2017","Uganda",0,0,"0%","Ireland"
"37","2018","Uganda",0,0,"0%","Ireland"
"38","2019","Uganda",0,0,"0%","Ireland"
"39","2020","Uganda",0,0,"0%","Ireland"
"40","2021","Uganda",0,0,"0%","Ireland"
"41","2017","Malawi",24.805986,0,"0.046205716691621%","Ireland"
"42","2018","Malawi",25.564715,0,"0.0466822779860925%","Ireland"
"43","2019","Malawi",26.108614,0,"0.0435269776040028%","Ireland"
"44","2020","Malawi",24.758684,0,"0.0455103022143582%","Ireland"
"45","2021","Malawi",20.602906,0,"0.0331158173719485%","Ireland"
"46","2017","Malawi",0,0,"0%","Ireland"
"47","2018","Malawi",0,0,"0%","Ireland"
"48","2019","Malawi",0,0,"0%","Ireland"
"49","2020","Malawi",0,0,"0%","Ireland"
"50","2021","Malawi",0,0,"0%","Ireland"
"51","2017","Sierra Leone",15.033748,0,"0.0280031239597258%","Ireland"
"52","2018","Sierra Leone",14.845149,0,"0.0271078857074277%","Ireland"
"53","2019","Sierra Leone",16.074555,0,"0.0267986954604067%","Ireland"
"54","2020","Sierra Leone",17.372544,0,"0.0319334310204951%","Ireland"
"55","2021","Sierra Leone",19.179561,0,"0.0308280219960303%","Ireland"
"56","2017","Sierra Leone",0,0,"0%","Ireland"
"57","2018","Sierra Leone",0,0,"0%","Ireland"
"58","2019","Sierra Leone",0,0,"0%","Ireland"
"59","2020","Sierra Leone",0,0,"0%","Ireland"
"60","2021","Sierra Leone",0,0,"0%","Ireland"
"61","2017","West Bank and Gaza Strip",6.716268,0,"0.0125102858815207%","Ireland"
"62","2018","West Bank and Gaza Strip",7.032191,0,"0.0128410856570589%","Ireland"
"63","2019","West Bank and Gaza Strip",13.700644,0,"0.0228410295754656%","Ireland"
"64","2020","West Bank and Gaza Strip",10.237093,0,"0.0188173651001197%","Ireland"
"65","2021","West Bank and Gaza Strip",12.763394,0,"0.0205150780550192%","Ireland"
"66","2017","West Bank and Gaza Strip",0,0,"0%","Ireland"
"67","2018","West Bank and Gaza Strip",0,0,"0%","Ireland"
"68","2019","West Bank and Gaza Strip",0,0,"0%","Ireland"
"69","2020","West Bank and Gaza Strip",0,0,"0%","Ireland"
"70","2021","West Bank and Gaza Strip",0,0,"0%","Ireland"
"71","2017","South Sudan",13.137132,0,"0.0244703274174398%","Ireland"
"72","2018","South Sudan",13.919029,0,"0.0254167504341231%","Ireland"
"73","2019","South Sudan",13.133323,0,"0.02189522033177%","Ireland"
"74","2020","South Sudan",10.222369,0,"0.018790300103862%","Ireland"
"75","2021","South Sudan",11.532106,0,"0.0185359830409337%","Ireland"
"76","2017","South Sudan",0,0,"0%","Ireland"
"77","2018","South Sudan",0,0,"0%","Ireland"
"78","2019","South Sudan",0,0,"0%","Ireland"
"79","2020","South Sudan",0,0,"0%","Ireland"
"80","2021","South Sudan",0,0,"0%","Ireland"
"81","2017","Zimbabwe",8.228757,0,"0.0153275751532793%","Ireland"
"82","2018","Zimbabwe",8.810485,0,"0.0160883276016298%","Ireland"
"83","2019","Zimbabwe",8.829859,0,"0.0147207000317789%","Ireland"
"84","2020","Zimbabwe",10.41806,0,"0.0191500105210486%","Ireland"
"85","2021","Zimbabwe",10.77731,0,"0.0173227713469582%","Ireland"
"86","2017","Zimbabwe",0,0,"0%","Ireland"
"87","2018","Zimbabwe",0,0,"0%","Ireland"
"88","2019","Zimbabwe",0,0,"0%","Ireland"
"89","2020","Zimbabwe",0,0,"0%","Ireland"
"90","2021","Zimbabwe",0,0,"0%","Ireland"
"91","2017","Kenya",8.27699,0,"0.015417417997389%","Ireland"
"92","2018","Kenya",7.972779,0,"0.0145586401256451%","Ireland"
"93","2019","Kenya",8.426131,0,"0.0140476248691483%","Ireland"
"94","2020","Kenya",9.573039,0,"0.0175967308278517%","Ireland"
"95","2021","Kenya",10.365522,0,"0.0166608891734454%","Ireland"
"96","2017","Kenya",0,0,"0%","Ireland"
"97","2018","Kenya",0,0,"0%","Ireland"
"98","2019","Kenya",0,0,"0%","Ireland"
"99","2020","Kenya",0,0,"0%","Ireland"
"100","2021","Kenya",0,0,"0%","Ireland"
"101","2017","Syrian Arab Republic",3.815042,0,"0.00710621822565872%","Ireland"
"102","2018","Syrian Arab Republic",8.771099,0,"0.0160164070579914%","Ireland"
"103","2019","Syrian Arab Republic",6.830567,0,"0.0113875802381406%","Ireland"
"104","2020","Syrian Arab Republic",8.04282,0,"0.0147839509101406%","Ireland"
"105","2021","Syrian Arab Republic",9.417847,0,"0.0151376558864537%","Ireland"
"106","2017","Syrian Arab Republic",0,0,"0%","Ireland"
"107","2018","Syrian Arab Republic",0,0,"0%","Ireland"
"108","2019","Syrian Arab Republic",0,0,"0%","Ireland"
"109","2020","Syrian Arab Republic",0,0,"0%","Ireland"
"110","2021","Syrian Arab Republic",0,0,"0%","Ireland"
"111","2017","Somalia",7.760935,0,"0.0144561705336803%","Ireland"
"112","2018","Somalia",7.698075,0,"0.0140570187114462%","Ireland"
"113","2019","Somalia",7.321368,0,"0.0122058191586372%","Ireland"
"114","2020","Somalia",7.990544,0,"0.0146878595121262%","Ireland"
"115","2021","Somalia",8.531692,0,"0.0137133059843943%","Ireland"
"116","2017","Somalia",0,0,"0%","Ireland"
"117","2018","Somalia",0,0,"0%","Ireland"
"118","2019","Somalia",0,0,"0%","Ireland"
"119","2020","Somalia",0,0,"0%","Ireland"
"120","2021","Somalia",0,0,"0%","Ireland"
"121","2017","Democratic Republic of the Congo",11.854578,0,"0.0220813344233413%","Ireland"
"122","2018","Democratic Republic of the Congo",9.183012,0,"0.0167685780550897%","Ireland"
"123","2019","Democratic Republic of the Congo",11.227755,0,"0.0187183525110996%","Ireland"
"124","2020","Democratic Republic of the Congo",8.49889,0,"0.0156222783241059%","Ireland"
"125","2021","Democratic Republic of the Congo",7.850739,0,"0.0126187848917446%","Ireland"
"126","2017","Democratic Republic of the Congo",0,0,"0%","Ireland"
"127","2018","Democratic Republic of the Congo",0,0,"0%","Ireland"
"128","2019","Democratic Republic of the Congo",0,0,"0%","Ireland"
"129","2020","Democratic Republic of the Congo",0,0,"0%","Ireland"
"130","2021","Democratic Republic of the Congo",0,0,"0%","Ireland"
"131","2017","Afghanistan",1.841872,0,"0.00343082576174272%","Ireland"
"132","2018","Afghanistan",2.403797,0,"0.00438943754218012%","Ireland"
"133","2019","Afghanistan",1.958216,0,"0.00326463993744746%","Ireland"
"134","2020","Afghanistan",3.301058,0,"0.00606785672482127%","Ireland"
"135","2021","Afghanistan",7.608725,0,"0.0122297867850962%","Ireland"
"136","2017","Afghanistan",0,0,"0%","Ireland"
"137","2018","Afghanistan",0,0,"0%","Ireland"
"138","2019","Afghanistan",0,0,"0%","Ireland"
"139","2020","Afghanistan",0,0,"0%","Ireland"
"140","2021","Afghanistan",0,0,"0%","Ireland"
"141","2017","Yemen",6.449459,0,"0.0120133049888936%","Ireland"
"142","2018","Yemen",6.105557,0,"0.011149011797469%","Ireland"
"143","2019","Yemen",5.918959,0,"0.00986779289900302%","Ireland"
