"","Donor","total_gender","Rank"
"1","Germany",10387.648965,1
"2","EU Institutions",7887.942406,2
"3","Japan",6511.221685,3
"4","United States",5403.91888,4
"5","United Kingdom",4356.865657,5
"6","Canada",3764.111263,6
"7","France",3726.414612,7
"8","Sweden",2612.033832,8
"9","Netherlands",2362.959658,9
"10","Switzerland",1507.608518,10
"11","Norway",1321.414505,11
"12","Australia",1144.32201,12
"13","Denmark",657.366792,13
"14","Belgium",586.253421,14
"15","Korea",532.037313,15
"16","Italy",485.571006,16
"17","Spain",417.727688,17
"18","Finland",362.497148,18
"19","Ireland",356.271694,19
"20","New Zealand",197.889199,20
"21","Austria",164.997216,21
"22","Hungary",120.610911,22
"23","Luxembourg",119.075787,23
"24","Portugal",46.643855,24
"25","Iceland",36.541434,25
"26","Czechia",24.708856,26
"27","Poland",4.344053,27
"28","Slovak Republic",4.070357,28
"29","Slovenia",1.843554,29
"30","Greece",0.473037,30
