"","donorname","sum_value","Rank"
"1","Japan",9877.20236,1
"2","Germany",7480.530528,2
"3","France",6754.309304,3
"4","EU Institutions",5406.439258,4
"5","Korea",1368.286655,5
"6","Netherlands",1058.295052,6
"7","United States",958.102729,7
"8","Australia",944.597562,8
"9","Norway",713.05646,9
"10","Switzerland",695.331334,10
"11","Sweden",630.914444,11
"12","Canada",554.962788,12
"13","United Kingdom",434.351289,13
"14","Denmark",394.17506,14
"15","Italy",339.789127,15
"16","Belgium",251.999228,16
"17","Finland",251.827949,17
"18","Austria",137.687821,18
"19","New Zealand",113.765253,19
"20","Spain",96.872525,20
"21","Ireland",95.946067,21
"22","Luxembourg",23.242948,22
"23","Iceland",16.809758,23
"24","Hungary",12.344208,24
"25","Czech Republic",7.853037,25
"26","Poland",3.269867,26
"27","Slovenia",1.652098,27
"28","Slovak Republic",1.141902,28
