"","donorname","perc","Rank"
"1","Japan","0.734696469809537%",1
"2","France","0.544381569747074%",2
"3","Netherlands","0.369416411986114%",3
"4","Iceland","0.353432902625374%",4
"5","Australia","0.339481321430724%",5
"6","Korea","0.334138429126449%",6
"7","Germany","0.295138686061738%",7
"8","Austria","0.287494266492895%",8
"9","Italy","0.27143370268939%",9
"10","Finland","0.271168963315711%",10
"11","Switzerland","0.270740660329928%",11
"12","EU Institutions","0.250725272411565%",12
"13","New Zealand","0.247020600327967%",13
"14","Denmark","0.221247130450974%",14
"15","Belgium","0.217414322128141%",15
"16","Sweden","0.212890239817632%",16
"17","Ireland","0.185968832892839%",17
"18","Norway","0.164086205551829%",18
"19","United Kingdom","0.12423208297353%",19
"20","Canada","0.120885636792128%",20
"21","Spain","0.0858284614635712%",21
"22","Luxembourg","0.069115456282467%",22
"23","Slovenia","0.0637739115786249%",23
"24","Hungary","0.0492893260963362%",24
"25","Slovak Republic","0.0345737064017137%",25
"26","United States","0.0260508025975464%",26
"27","Poland","0.0199462342332635%",27
"28","Czech Republic","NA%",28
"29","Czechia","NA%",29
"30","DAC Countries, Total","NA%",30
"31","Greece","NA%",31
"32","Portugal","NA%",32
