"Donor","ODA towards health","Ranking"
"United States",8235.7,"1st"
"Germany",2649.6,"2nd"
"EU Institutions",1888,"3rd"
"Japan",1638.5,"4th"
"Canada",1517,"5th"
"United Kingdom",1367.8,"6th"
"France",1120,"7th"
"Australia",768.8,"8th"
"Korea",647.4,"9th"
"Norway",532.6,"10th"
"Switzerland",459.6,"11th"
"Spain",457.7,"12th"
"Netherlands",451.5,"13th"
"Sweden",421.4,"14th"
"Italy",364.6,"15th"
"Denmark",193.5,"16th"
"Belgium",162.1,"17th"
"Ireland",98.6,"18th"
"New Zealand",74.2,"19th"
"Hungary",62.2,"20th"
"Poland",57.6,"21st"
"Luxembourg",53.9,"22nd"
"Austria",46.7,"23rd"
"Finland",45.6,"24th"
"Portugal",37.7,"25th"
"Greece",29.5,"26th"
"Czechia",21.4,"27th"
"Iceland",14.7,"28th"
"Slovak Republic",13.3,"29th"
"Slovenia",12.9,"30th"
