"Donor","Global health ODA as a % of total ODA from","Ranking"
"Greece","39.6%","30st"
"Slovak Republic","36.3%","29nd"
"Canada","30.5%","28rd"
"Spain","29.9%","27th"
"Slovenia","28.0%","26th"
"Korea","26.4%","25th"
"Iceland","25.5%","24th"
"Australia","24.9%","23th"
"Hungary","24.5%","22th"
"Czechia","24.2%","21th"
"United States","21.1%","20th"
"Poland","18.7%","19th"
"Portugal","18.2%","18th"
"Ireland","15.8%","17th"
"Switzerland","15.3%","16th"
"Norway","15.2%","15th"
"Luxembourg","14.8%","14th"
"United Kingdom","13.7%","13th"
"Italy","13.6%","12th"
"New Zealand","12.8%","11th"
"Belgium","11.8%","10st"
"Netherlands","11.8%","9nd"
"Sweden","10.6%","8rd"
"Germany"," 9.6%","7th"
"Denmark"," 9.4%","6th"
"Japan"," 9.2%","5th"
"France"," 8.7%","4th"
"EU Institutions"," 7.8%","3th"
"Austria"," 6.5%","2th"
"Finland"," 6.5%","1th"
