"Donor","ODA to global health from","Ranking"
"United States",14568.1298584599,1
"Germany",4736.09657120396,2
"United Kingdom",2426.94026252907,3
"Japan",2046.21641983997,4
"France",2002.57284389772,5
"Canada",1972.87281334357,6
"EU Institutions",1917.10922504394,7
"Italy",1040.8709279976,8
"Australia",880.449553829321,9
"Norway",856.94277063177,10
"Sweden",687.386250834899,11
"Korea",679.186196235338,12
"Spain",596.063481314182,13
"Netherlands",594.140449586491,14
"Switzerland",530.732156597521,15
"Denmark",261.10894669098,16
"Belgium",250.412165839284,17
"Ireland",145.083762836062,18
"Poland",94.2948991309152,19
"Austria",93.9097104458833,20
"New Zealand",93.0224454082859,21
"Finland",85.4566809510466,22
"Luxembourg",73.0022794965081,23
"Hungary",71.158102571508,24
"Portugal",54.4585483724931,25
"Greece",44.462380143114,26
"Czechia",21.424548,27
"Slovak Republic",19.2628049560482,28
"Slovenia",16.3934890069451,29
"Iceland",15.4509194803669,30
"Czech Republic",14.4379318026547,31
