"","PurposeName.x","Funding"
"1","Sanitation - large systems",57.49
"2","Water supply and sanitation - large systems",52.48
"3","Basic drinking water supply and basic sanitation",36.9
"4","Basic sanitation",26.38
"5","Waste management/disposal",12.25
"6","Basic drinking water supply",7.85
"7","Water sector policy and administrative management",7.84
"8","Material relief assistance and services",4.97
"9","Urban development and management",3.58
"10","Education and training in water supply and sanitation",2.65
