"","PurposeName.x","Funding"
"1","Sanitation - large systems",269.99
"2","Water supply and sanitation - large systems",256.84
"3","Basic drinking water supply and basic sanitation",174.85
"4","Water supply - large systems",132.41
"5","Basic sanitation",98.29
"6","Basic drinking water supply",61.86
"7","Material relief assistance and services",53.32
"8","Water sector policy and administrative management",46.42
"9","Relief co-ordination and support services",43.66
"10","Waste management/disposal",38.3
