"","RegionName","Funding_2021","Share"
"1","South of Sahara",767.96,38.8368564782037
"2","South & Central Asia",305.48,15.4485688277536
"3","Far East Asia",166.98,8.44442196824112
"4","Middle East",148.81,7.52553858602205
"5","North of Sahara",120.01,6.06908061090321
"6","Europe",109.84,5.55476888843936
"7","South America",106.63,5.39243450996258
"8","Regional and Unspecified",99.71,5.0424800242743
"9","Caribbean & Central America",88.92,4.49681399817943
"10","Oceania",32.38,1.63750379285931
"11","Africa",15.84,0.801051886315364
"12","Asia",8.17,0.413168807525033
"13","America",6.67,0.337311621320926
