"","PurposeName.x","Funding"
"1","Basic sanitation",13.7
"2","Material relief assistance and services",11.29
"3","Basic drinking water supply",9
"4","Basic drinking water supply and basic sanitation",4.47
"5","Water sector policy and administrative management",3.48
"6","Reproductive health care",2.43
"7","Water supply and sanitation - large systems",1.77
"8","Water supply - large systems",1.61
"9","Research/scientific institutions",1.51
"10","Education and training in water supply and sanitation",1.19
