"Year","Income Group","ODA","Share","Donor"
"2018","WorldBank Low income countriesM",265.675623,"23%","Spain"
"2019","WorldBank Low income countriesM",261.770691,"22%","Spain"
"2020","WorldBank Low income countriesM",220.161844,"20%","Spain"
"2021","WorldBank Low income countriesM",312.963233,"20%","Spain"
"2022","WorldBank Low income countriesM",400.067099,"16%","Spain"
"2018","WorldBank Upper-middle income countries",316.347679,"27%","Spain"
"2019","WorldBank Upper-middle income countries",318.468844,"27%","Spain"
"2020","WorldBank Upper-middle income countries",335.521205,"31%","Spain"
"2021","WorldBank Upper-middle income countries",358.655965,"23%","Spain"
"2022","WorldBank Upper-middle income countries",362.694559,"15%","Spain"
"2018","WorldBank Low income countries",132.936752,"12%","Spain"
"2019","WorldBank Low income countries",127.308276,"11%","Spain"
"2020","WorldBank Low income countries",103.630638,"9%","Spain"
"2021","WorldBank Low income countries",156.663456,"10%","Spain"
"2022","WorldBank Low income countries",141.661453,"6%","Spain"
"2018","Part I Unallocated by income",86.773079,"8%","Spain"
"2019","Part I Unallocated by income",55.242304,"5%","Spain"
"2020","Part I Unallocated by income",57.816162,"5%","Spain"
"2021","Part I Unallocated by income",53.389469,"3%","Spain"
"2022","Part I Unallocated by income",87.729678,"4%","Spain"
"2018","Countries not classified by the World Bank",67.037236,"6%","Spain"
"2019","Countries not classified by the World Bank",75.591909,"6%","Spain"
"2020","Countries not classified by the World Bank",53.73559,"5%","Spain"
"2021","Countries not classified by the World Bank",7.392313,"0%","Spain"
"2022","Countries not classified by the World Bank",11.119708,"0%","Spain"
"2018","WorldBank High income countries",1.268089,"0%","Spain"
"2019","WorldBank High income countries",1.164463,"0%","Spain"
"2020","WorldBank High income countries",0.692507,"0%","Spain"
"2021","WorldBank High income countries",1.445866,"0%","Spain"
"2022","WorldBank High income countries",2.322565,"0%","Spain"
