"Year","Region","Bilateral ODA","Share","Donor"
"2018","Developing countries, unspecified",282.931528,"25%","Spain"
"2019","Developing countries, unspecified",342.470872,"29%","Spain"
"2020","Developing countries, unspecified",328.442038,"30%","Spain"
"2021","Developing countries, unspecified",640.336949,"42%","Spain"
"2022","Developing countries, unspecified",1444.042135,"59%","Spain"
"2018","Latin America and the Caribbeans",427.569248,"37%","Spain"
"2019","Latin America and the Caribbeans",397.690099,"34%","Spain"
"2020","Latin America and the Caribbeans",430.575426,"39%","Spain"
"2021","Latin America and the Caribbeans",446.295803,"29%","Spain"
"2022","Latin America and the Caribbeans",431.66428,"18%","Spain"
"2018","sub-Saharan Africa",168.126194,"15%","Spain"
"2019","sub-Saharan Africa",155.544738,"13%","Spain"
"2020","sub-Saharan Africa",136.831231,"12%","Spain"
"2021","sub-Saharan Africa",232.375575,"15%","Spain"
"2022","sub-Saharan Africa",208.454954,"9%","Spain"
"2018","MENA region",153.592165,"13%","Spain"
"2019","MENA region",172.94136,"15%","Spain"
"2020","MENA region",128.683635,"12%","Spain"
"2021","MENA region",153.353902,"10%","Spain"
"2022","MENA region",147.964577,"6%","Spain"
"2018","Europe",82.056692,"7%","Spain"
"2019","Europe",69.212574,"6%","Spain"
"2020","Europe",44.499945,"4%","Spain"
"2021","Europe",18.158217,"1%","Spain"
"2022","Europe",142.728633,"6%","Spain"
"2018","Asia",35.876383,"3%","Spain"
"2019","Asia",41.16893,"3%","Spain"
"2020","Asia",27.395649,"2%","Spain"
"2021","Asia",32.538876,"2%","Spain"
"2022","Asia",47.777209,"2%","Spain"
"2018","Africa, regional",2.698788,"0%","Spain"
"2019","Africa, regional",2.972027,"0%","Spain"
"2020","Africa, regional",2.746429,"0%","Spain"
"2021","Africa, regional",5.378397,"0%","Spain"
"2022","Africa, regional",18.037048,"1%","Spain"
"2018","Asia, regional",0.000964,"0%","Spain"
"2019","Asia, regional",0,"0%","Spain"
"2020","Asia, regional",0.322328,"0%","Spain"
"2021","Asia, regional",2.350402,"0%","Spain"
"2022","Asia, regional",8.854148,"0%","Spain"
"2018","Oceania",0.118024,"0%","Spain"
"2019","Oceania",0.016759,"0%","Spain"
"2020","Oceania",0.503303,"0%","Spain"
"2021","Oceania",0.05913,"0%","Spain"
"2022","Oceania",0.114213,"0%","Spain"
