"Year","Multi_short","ODA","Share","full name","country"
"2018","WFP",8.768871,"1%","World Food Programme","Switzerland"
"2018","GEF Fund",33.442281,"4%","Global Environment Facility Trust Fund","Switzerland"
"2018","GEF - Special Climate Change Fund",0.548054,"0%","Global Environment Facility - Special Climate Change Fund","Switzerland"
"2018","IMF",10.961089,"1%","International Monetary Fund (IMF)","Switzerland"
"2018","UN agency, fund or commission",255.427357,"31%","United Nations (UN) agency, fund or commission","Switzerland"
"2018","MDRI",71.738012,"9%","International Development Association - Multilateral Debt Relief Initiative","Switzerland"
"2018","WHO - core voluntary contributions",2.740272,"0%","World Health Organisation - core voluntary contributions account","Switzerland"
"2018","CERF",6.576653,"1%","Central Emergency Response Fund","Switzerland"
"2018","UNEP",4.812028,"1%","United Nations Environment Programme","Switzerland"
"2018","IDA",236.257605,"29%","International Development Association","Switzerland"
"2018","WB",307.995617,"38%","World Bank Group (WB)","Switzerland"
"2018","AfDB",6.605492,"1%","African Development Bank","Switzerland"
"2018","AIIB",25.803038,"3%","Asian Infrastructure Investment Bank","Switzerland"
"2018","UNFPA",17.537742,"2%","United Nations Population Fund","Switzerland"
"2018","UNOCHA",2.192218,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Switzerland"
"2018","	
Regional Development Banks",129.222224,"16%","Regional Development Banks","Switzerland"
"2018","UN Women",17.537742,"2%","United Nations Entity for Gender Equality and the Empowerment of Women","Switzerland"
"2018","African Development Fund",85.080769,"10%","African Development Fund","Switzerland"
"2018","the Sahel Club",0.241144,"0%","Sahel and West Africa Club","Switzerland"
"2018","CGIAR Fund",16.003189,"2%","CGIAR Fund","Switzerland"
"2018","IDB, IIC and MIF",4.052249,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Switzerland"
"2018","Global Fund",20.278014,"2%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Switzerland"
"2018","IFAD",16.441633,"2%","International Fund for Agricultural Development","Switzerland"
"2018","IPCC",0.109611,"0%","Intergovernmental Panel on Climate Change","Switzerland"
"2018","UNFCCC",0.23961,"0%","United Nations Framework Convention on Climate Change","Switzerland"
"2018","ADF",7.680676,"1%","Asian Development Fund","Switzerland"
"2018","Other multilateral institutions",114.993185,"14%","Other multilateral institutions","Switzerland"
"2018","FAO",4.954741,"1%","Food and Agricultural Organisation","Switzerland"
"2018","WHO - assessed contributions",4.534865,"1%","World Health Organisation - assessed contributions","Switzerland"
"2018","GEF-Least Developed Countries Fund",1.759364,"0%","Global Environment Facility - Least Developed Countries Fund","Switzerland"
"2018","UNDP",52.613225,"6%","United Nations Development Programme","Switzerland"
"2019","WFP",8.744274,"1%","World Food Programme","Switzerland"
"2019","GEF Fund",32.272626,"4%","Global Environment Facility Trust Fund","Switzerland"
"2019","GEF - Special Climate Change Fund",0.864005,"0%","Global Environment Facility - Special Climate Change Fund","Switzerland"
"2019","UN agency, fund or commission",261.386855,"30%","United Nations (UN) agency, fund or commission","Switzerland"
"2019","MDRI",71.806063,"8%","International Development Association - Multilateral Debt Relief Initiative","Switzerland"
"2019","WHO - core voluntary contributions",2.742871,"0%","World Health Organisation - core voluntary contributions account","Switzerland"
"2019","CERF",7.68004,"1%","Central Emergency Response Fund","Switzerland"
"2019","UNEP",4.816584,"1%","United Nations Environment Programme","Switzerland"
"2019","IDA",236.481713,"27%","International Development Association","Switzerland"
"2019","WB",308.287776,"36%","World Bank Group (WB)","Switzerland"
"2019","AIIB",25.827514,"3%","Asian Infrastructure Investment Bank","Switzerland"
"2019","UNFPA",17.554378,"2%","United Nations Population Fund","Switzerland"
"2019","UNOCHA",2.194297,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Switzerland"
"2019","	
Regional Development Banks",160.779218,"19%","Regional Development Banks","Switzerland"
"2019","UN Women",17.554378,"2%","United Nations Entity for Gender Equality and the Empowerment of Women","Switzerland"
"2019","African Development Fund",85.161476,"10%","African Development Fund","Switzerland"
"2019","the Sahel Club",0.883205,"0%","Sahel and West Africa Club","Switzerland"
"2019","CGIAR Fund",17.828665,"2%","CGIAR Fund","Switzerland"
"2019","IDB, IIC and MIF",42.10227,"5%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Switzerland"
"2019","Global Fund",20.297249,"2%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Switzerland"
"2019","IFAD",15.381095,"2%","International Fund for Agricultural Development","Switzerland"
"2019","IPCC",0.109715,"0%","Intergovernmental Panel on Climate Change","Switzerland"
"2019","UNFCCC",0.24862,"0%","United Nations Framework Convention on Climate Change","Switzerland"
"2019","ADF",7.687958,"1%","Asian Development Fund","Switzerland"
"2019","Other multilateral institutions",135.318752,"16%","Other multilateral institutions","Switzerland"
"2019","FAO",4.903284,"1%","Food and Agricultural Organisation","Switzerland"
"2019","WHO - assessed contributions",4.425455,"1%","World Health Organisation - assessed contributions","Switzerland"
"2019","GEF-Least Developed Countries Fund",2.742871,"0%","Global Environment Facility - Least Developed Countries Fund","Switzerland"
"2019","UNDP",54.528285,"6%","United Nations Development Programme","Switzerland"
"2020","WFP",10.691702,"1%","World Food Programme","Switzerland"
"2020","GEF Fund",32.522898,"4%","Global Environment Facility Trust Fund","Switzerland"
"2020","GCF",37.979315,"4%","Green Climate Fund","Switzerland"
"2020","GEF - Special Climate Change Fund",0.870705,"0%","Global Environment Facility - Special Climate Change Fund","Switzerland"
"2020","IMF",27.641423,"3%","International Monetary Fund (IMF)","Switzerland"
"2020","UN agency, fund or commission",279.230177,"31%","United Nations (UN) agency, fund or commission","Switzerland"
"2020","MDRI",72.362915,"8%","International Development Association - Multilateral Debt Relief Initiative","Switzerland"
