microdata_region,DT_region
Far East Asia,Asia
Europe,Europe
North of Sahara,MENA region
North & Central America,Latin America and the Caribbeans
South & Central Asia,Asia
Regional and Unspecified,"Developing countries, unspecified"
South of Sahara,sub-Saharan Africa
Oceania,Oceania
Middle East,MENA region
South America,Latin America and the Caribbeans
"Africa, regional","Africa, regional"
"Asia, regional","Asia, regional"
"America, regional",Latin America and the Caribbeans
Africa,"Africa, regional"
America,Latin America and the Caribbeans
Asia,"Asia, regional"
Caribbean & Central America,Latin America and the Caribbeans
