country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,8.79,8.85,8.95,9.22,9.48,9.73,10.06,10.38,10.75,11.36,11.84,12.84,14.45,19.54,23.26,24.17,25.45,25.3,28.24,30.22,33.86,37.52,37.09,35.77,36.85,31.04,31.76,35.51,42.91,46.85,48.49,49.41,46.91,43.88,47.79,49.87,53.77,51.65,43.94,45.71,42.76,39.47,42.73,52.5,61.72,66.86,69.4,80.53,84.53,80.27,99.41,117.12,116.69,110.18,103.27,85.48,85.43,91.19,90.9,87.28,87.11,100.33,100,99.24
Austria,6.93,7.27,7.58,7.85,8.1,8.55,8.85,9.16,9.45,9.77,10.31,11.36,13.18,16.8,19.28,22.02,22.59,25.8,31.1,35.19,38.39,33.29,32.74,32.16,30.31,30.19,42.11,52.09,54.16,52.03,62.37,62.97,69.19,67.18,70.16,80.9,77.87,68.39,67.7,65.05,57.02,56.48,60.12,73.01,81.64,83.74,86.15,96.01,103.1,101.41,97.3,104.01,98.1,102.95,105.09,89.86,91.23,93.91,100.11,96.47,100.85,106.81,100,110.34
Belgium,9.81,9.92,10.1,10.39,10.9,11.49,11.92,12.34,12.6,13.06,13.8,14.89,17.49,21.15,23.81,28.28,28.99,33.57,39.88,44.79,46.72,38.69,33.82,31.93,29.8,30.3,41.43,50.4,52.3,51.15,62,62.4,68.58,66.36,69.96,80.32,76.86,67.08,67.28,64.88,57.25,56.74,60.69,74.1,83.04,84.81,87.59,97.37,104.55,101.48,98.35,105.11,99.07,103.63,104.58,88.6,90.02,93.44,99.35,95.9,99.19,106.2,100,106.91
Canada,12.33,11.89,11.42,11.56,11.89,12.34,12.96,13.52,14.08,14.77,15.94,17.31,18.67,20.28,23.88,25.45,28.69,28.41,28.29,30.32,33.36,35.89,37.97,40.2,39.6,38.81,39.33,43.18,48.63,52.94,55.53,58.28,56.06,53.2,50.98,51.88,53.12,52.91,49.31,50.18,52.37,51.06,50.98,59.03,65.59,72.63,79.58,86.78,90.16,83,94.55,101.66,101.86,100.51,95.55,81.85,79.54,83.29,84.77,84.09,83.72,96.88,100,97.67
Czechia,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,28.7,32.27,38.58,41.45,38.44,41.46,39.87,36.35,38.74,46.23,54.49,62.07,66.64,71.14,82,97.84,91.69,89.96,97.11,89.11,90.23,87.21,74.34,75.66,80.1,88.41,87.04,89.7,99.22,100,114.34
Denmark,5.84,6.08,9.38,8.15,6.5,10.49,9.64,9.96,9.82,10.48,11.45,12.46,14.5,18.55,20.82,25.02,26,28.51,33.82,37.94,38.53,33.76,31.77,31.09,29.09,29.66,39.74,49.24,52.01,50.26,60.94,60.54,65.15,61.04,63.19,72.64,71.61,64.14,64.04,62.47,55.54,55.34,59.78,72.73,81.56,83.81,86.31,96.54,105.88,102.88,101,106.6,101.04,105.07,106.12,89.04,89.2,92.02,96.94,92.73,97.3,104.12,100,101.15
Estonia,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,33.66,34.36,30.88,32.03,35.32,43.93,50.72,53.75,59.06,72.62,82.47,77.82,75.7,83.99,80.76,86.87,89.49,75.28,76.75,81.23,89.08,87.66,88.23,96.81,100,111.84
Finland,9.63,10.14,10.55,11.02,11.82,12.41,12.99,13.1,11.96,12.46,12.93,13.92,15.26,19,23.6,27.44,29.49,31.03,32.8,37.6,43.15,41.62,40.58,38.01,38.23,39.04,49.99,60.46,68.51,70.9,83.67,80.3,73.02,58.27,65,81,76.96,69.59,69.62,67.31,59.18,59.41,63.11,75.8,83.86,84.67,86.29,96.7,104.99,103.16,98.43,106.04,100.95,106.94,108.61,92.27,92.07,94.62,101.05,97.28,100.65,106.71,100,107.47
France,11.41,11.76,12.39,13.05,13.58,13.99,14.37,14.78,15.34,15.69,15.56,16.54,19.29,23.57,24.41,31.15,30.95,32.74,38.96,45.59,51.27,44.53,41.28,39.02,36.44,37.37,50.92,60.15,62.61,60.37,72.62,71.88,78.12,74.23,76.35,85.93,84.99,75.13,75.04,72.06,63.3,62.75,67.4,82.3,91.96,93.77,96.74,108.21,116.72,112.75,108.4,114.87,107.42,111.82,112.39,95.03,95.24,97.59,103.19,99.12,103.78,109.23,100,108.25
Germany,12.53,13.61,14.22,14.7,15.19,15.67,16.2,16.5,16.86,17.86,13.8,15.56,17.76,22.53,24.97,27.73,27.99,31.29,37.46,42.81,45.53,38.15,37.15,36.3,33.21,32.79,45.78,56.02,58.31,56.04,67.41,67.69,75.7,74.3,77.24,89.21,85.46,74.36,73.79,70.97,61.09,60.14,64.16,77.94,86.65,87.04,88.25,97.95,104.15,102.4,98.02,104.01,97.58,102.78,104.63,89.1,90,93.13,99.46,96.35,99.92,106.82,100,109.31
Greece,11.33,11.45,11.99,12.12,12.53,13.05,13.69,13.99,14.19,14.64,15.2,15.65,16.44,20.12,24.41,25.87,26.41,29.79,33.99,40.48,41.95,39.3,41.51,37.97,36.12,35.08,41.28,49.09,54.65,54.69,67.62,70.39,77.24,73.49,77.27,88.74,91.14,84.58,76.86,78.1,64.23,63.06,68.58,85.06,96.4,98.6,103.06,116.24,127.8,126.56,120.16,127.35,117.4,118.79,116.41,97.04,96.18,98.32,102.77,97.72,98.65,104.49,100,108.58
Hungary,11.86,12.12,12.53,12.83,13.12,13.44,13.77,14.04,14.5,15.03,15.29,16.34,17.98,20.81,22.88,25.92,26.82,29.06,33.24,38.05,41.23,40.37,39.31,39.37,38.68,38.75,47.16,54.66,58.74,59.39,64.98,39.19,45.08,46.98,49.08,52.01,52.25,51.38,50.91,49.75,45.79,50.1,60.26,72.93,84.84,88.42,86.91,105.03,115.09,104.54,103.92,109.54,100.72,104.15,103.78,88.87,89.3,95.28,101.47,98.87,99.26,107.34,100,119.34
Iceland,8.12,8.34,8.62,9.34,10.85,12.22,13.5,13.5,11.14,9.32,10.85,12.24,14.51,18.11,23.41,21.32,23.85,28.96,31.1,33.58,37.81,37.46,33.72,29.58,29.4,29.67,37.35,47.61,52.67,48.78,54.96,58.84,62.42,54.15,53.69,59.76,59.48,57.43,59.97,60.99,58.28,51.14,57.74,69.3,77.74,89.45,87.39,99.47,78.58,64.2,68.91,74.83,71.8,75.1,81.87,76.82,85.76,97.9,99.14,91.42,86.14,97.83,100,104.48
Ireland,7.69,7.87,8.27,8.46,9.25,9.68,10.1,10.24,9.31,10.15,11.16,12.58,14.58,16.49,16.7,18.99,18.65,20.51,24.93,30.24,34.82,32.01,32.55,31.54,29.26,30.03,40.53,45.99,48.61,47.74,55.31,54.78,59.57,53.88,55.91,61.77,63.37,62.7,62.82,62.47,58.1,60.24,66.85,82.41,91.34,94.02,97.81,108.09,113.22,104.75,97.26,103.6,97.45,101.3,101.97,94.26,93.7,96.15,101.85,99.58,101.02,105.47,100,106.5
Italy,8.28,8.51,9.01,9.76,10.34,10.77,11.02,11.33,11.54,11.93,12.75,13.83,15.54,17.6,18.93,21.96,20.31,22.73,26.82,31.76,37.4,33.44,33.02,33.85,32.41,32.56,44.81,54.61,58.04,58.49,72.56,75.4,79.24,64.53,65.12,67.64,74.66,69.38,69.68,67.61,59.52,59.6,64.77,80.09,90.43,92.28,95.17,106.37,114.77,112.66,107.63,114.8,107.77,112.59,113.55,95.81,96.6,99.19,104.96,100.48,103.91,109.2,100,107.15
Japan,9.11,9.81,10.26,10.77,11.38,12,12.61,13.31,14.14,14.93,15.97,17.28,20.67,26.43,29.7,31.3,33.84,39.89,53.25,52.52,53.54,56.78,51.07,54.05,54.97,55.29,79.69,92.76,105.06,99.69,97.16,107.33,115.75,132.46,144.29,155.89,134.22,121.3,112.09,127.23,132.63,116.4,111.39,118.39,125.51,121.75,114.17,112.02,126.33,139.2,145.36,157.45,156.05,127.17,119.23,106.5,118.93,115.27,117.09,119.33,123.04,119.4,100,96.82
Korea,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,14.68,- ,- ,- ,- ,22.1,- ,- ,- ,- ,43.98,- ,- ,- ,- ,43.33,44.96,50.33,60.94,70.5,73.36,77.32,78.33,80.91,87.3,97.42,97.26,85.61,60.7,70.76,75.03,68.02,72.29,78.57,84.25,95.18,102.2,107.18,92.28,83.31,94.37,99.74,99.31,103.19,108.24,103.96,103.35,108.45,111.99,104.85,105.15,111.42,100,100.8
Lithuania,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,37.84,41.34,49.22,55.62,59.58,64.13,75.91,89.15,81.84,79.93,88.45,83.6,87.8,88.57,74.03,74.97,79.66,86.35,84.17,87.31,96.53,100,111.4
Luxembourg,7.12,6.86,7.14,7.35,7.8,8.04,8.32,8.38,8.76,9.18,10.67,10.82,12.63,16.01,18.73,19.67,21.03,22.92,27.41,31.33,33.88,28.61,25.76,24.59,22.73,22.78,30.26,36.24,37.82,36.72,44.37,44.2,48.73,48.05,51.37,59.63,58.92,52.39,50.57,50.79,45.96,45.01,48.05,58.87,66.72,69.97,75.21,83.6,93.92,91.49,91.01,99.22,93.99,99.44,102.5,87.81,86.37,90.14,95.98,91.61,97.61,105.9,100,111.45
Netherlands,6.96,7.4,7.72,8.08,8.78,9.31,9.8,10.23,10.59,11.35,12.07,13.5,16.08,20.14,22.85,26.75,27.89,32.05,38.28,42.99,45.77,38.43,37.85,36.16,32.61,32.06,43.53,52.27,54.27,51.27,60.65,60.9,66.37,63.84,66.51,76.95,74.15,65.72,66,64.17,57.38,58.08,63.42,77.66,86.53,88.29,91.37,101.71,109.63,106.07,101.81,107.11,100.44,105.09,105.28,88.72,88.85,91.75,98.36,96.1,99.71,106.51,100,110.36
New Zealand,8.97,8.74,9.25,9.61,9.96,10.38,9.8,10.37,9.29,9.17,9.97,11.61,13.39,16.45,17.48,17.2,17.12,19.46,23.53,26.09,28.64,29.49,29.12,27.93,25.59,25.37,33.05,41.17,48.84,46.75,48.05,46.8,44.27,45.49,50.18,56.78,60.78,58.61,47.98,47.57,41.78,40.3,44.68,56.82,67.13,73.16,69.09,81.71,79.86,72.85,86.37,97.36,99.54,104.1,107.73,90.87,92.37,97.28,96.05,93.69,94.24,105.8,100,102.52
Norway,5.83,5.97,6.26,6.46,6.76,7.09,7.37,7.59,7.94,8.27,9.32,10.06,11.34,14.13,16.34,18.81,19.4,21.51,23.18,25.36,29.42,28.61,28.09,26.57,25.23,25.2,29.14,34.28,37.16,37.05,42.42,41.85,43.39,38.88,39.03,44.79,45.83,43.01,40.03,41.31,42.22,42.01,46.59,54.06,60.11,68.4,74.68,84.29,95.66,82.51,90.81,104.47,104.07,105.58,98.73,74.99,70.84,74.89,81.27,74.73,68.09,87.36,100,82.12
Poland,11.86,12.12,12.53,12.83,13.12,13.44,13.77,14.04,14.5,15.03,15.29,16.34,17.98,20.81,22.88,25.92,26.82,29.06,33.24,38.05,41.23,40.37,39.31,39.37,38.68,38.75,47.16,54.66,58.74,59.39,0,0,0,44.99,49.27,59.1,62.53,58.58,61.06,57.02,55.82,61.39,62.95,66.49,74.29,86.17,91.21,106.17,124.9,101.98,106.74,111.94,104.24,107.58,108.33,91.77,87.87,93.2,98.74,95.72,98.3,104.69,100,117.48
Portugal,8.24,8.4,8.4,8.58,8.71,9.06,9.54,9.9,10.09,10.88,11.08,11.8,13.28,16.11,18.49,21.3,20.93,20.86,22.21,23.83,28.18,26.93,25.19,22.49,21.22,22.26,30.74,35.62,38.73,39.22,48.99,53.16,63.45,57.16,59.34,67.96,67.66,61.88,62.47,61.82,55.3,55.74,61.11,75.77,85.32,88.2,91.91,103.21,110.64,107.99,103.38,108.23,99.67,105.26,105.93,90.35,91.62,94.81,101.06,97.54,101.28,107.1,100,110.06
Slovak Republic,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,34.14,37.19,44.03,44.66,42.67,42.69,38.99,38.19,38.42,42.59,55.28,66.66,70.98,76.45,92.89,108.8,107.73,103.01,109.95,102.92,106.85,106.57,88.91,88.18,90.98,97.19,94.49,98.47,104.62,100,111.57
